ZIP CODE,CITY NAME,DIVISION
91901.0,ALPINE,EAST
91902.0,BONITA,SOUTH
91903.0,ALPINE (POB),EAST
91905.0,BOULEVARD,EAST
91906.0,CAMPO,EAST
91908.0,BONITA (POB),SOUTH
91909.0,CHULA VISTA (POB),SOUTH
91910.0,CHULA VISTA,SOUTH
91911.0,CHULA VISTA,SOUTH
91912.0,CHULA VISTA (POB),SOUTH
91913.0,CHULA VISTA,SOUTH
91914.0,CHULA VISTA,SOUTH
91915.0,CHULA VISTA,SOUTH
91916.0,DESCANSO,EAST
91917.0,DULZURA,EAST
91921.0,CHULA VISTA (POB),SOUTH
91931.0,GUATAY (POB),EAST
91932.0,IMPERIAL BEACH,SOUTH
91933.0,IMPERIAL BEACH (POB),SOUTH
91934.0,JACUMBA,EAST
91935.0,JAMUL,EAST
91941.0,LA MESA,EAST
91942.0,LA MESA,EAST
91943.0,LA MESA (POB),EAST
91944.0,LA MESA (POB),EAST
91945.0,LEMON GROVE,EAST
91946.0,LEMON GROVE (POB),EAST
91947.0,LINCOLN ACRES (POB),SOUTH
91948.0,MOUNT LAGUNA (POB),EAST
91950.0,NATIONAL CITY,SOUTH
91951.0,NATIONAL CITY (POB),SOUTH
91962.0,PINE VALLEY,EAST
91963.0,POTRERO,EAST
91976.0,SPRING VALLEY (POB),EAST
91977.0,SPRING VALLEY,EAST
91978.0,SPRING VALLEY,EAST
91979.0,SPRING VALLEY (POB),EAST
91980.0,TECATE,EAST
91987.0,*TECATE (TK Manufacturing),EAST
92003.0,BONSALL,NORTH
92004.0,BORREGO SPGS/OCOTILLO WELLS,NORTH
92007.0,CARDIFF BY THE SEA,NORTH
92008.0,CARLSBAD,NORTH
92009.0,CARLSBAD,NORTH
92010.0,CARLSBAD,NORTH
92011.0,CARLSBAD,NORTH
92013.0,CARLSBAD (POB),NORTH
92014.0,DEL MAR,CENTRAL
92018.0,CARLSBAD (POB),NORTH
92019.0,EL CAJON,EAST
92020.0,EL CAJON,EAST
92021.0,EL CAJON,EAST
92022.0,EL CAJON (POB),EAST
92023.0,ENCINITAS (POB),NORTH
92024.0,ENCINITAS,NORTH
92025.0,ESCONDIDO,NORTH
92026.0,ESCONDIDO,NORTH
92027.0,ESCONDIDO,NORTH
92028.0,FALLBROOK,NORTH
92029.0,ESCONDIDO,NORTH
