ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,4,2021,A,Y,0,0,0
91901,4,2021,C,Y,0,0,0
91901,4,2021,I,Y,0,0,0
91901,4,2021,R,Y,7899,2687524,340
91902,4,2021,A,Y,0,0,0
91902,4,2021,C,Y,0,0,0
91902,4,2021,I,Y,0,0,0
91902,4,2021,R,N,5825,1714798,294
91905,4,2021,A,Y,0,0,0
91905,4,2021,C,Y,0,0,0
91905,4,2021,I,Y,0,0,0
91905,4,2021,R,Y,278,108639,391
91906,4,2021,A,Y,0,0,0
91906,4,2021,C,Y,435,1002521,2305
91906,4,2021,I,Y,0,0,0
91906,4,2021,R,Y,1945,853450,439
91910,4,2021,A,Y,0,0,0
91910,4,2021,C,Y,178,4791442,26918
91910,4,2021,I,Y,0,0,0
91910,4,2021,R,Y,24210,6382775,264
91911,4,2021,A,Y,0,0,0
91911,4,2021,C,Y,115,4310748,37485
91911,4,2021,I,Y,0,0,0
91911,4,2021,R,Y,22509,6647651,295
91912,4,2021,A,Y,0,0,0
91912,4,2021,C,Y,0,0,0
91912,4,2021,I,Y,0,0,0
91912,4,2021,R,Y,0,0,0
91913,4,2021,A,Y,0,0,0
91913,4,2021,C,Y,0,0,0
91913,4,2021,I,Y,0,0,0
91913,4,2021,R,N,16192,4335535,268
91914,4,2021,A,Y,0,0,0
91914,4,2021,C,N,28,384972,13749
91914,4,2021,I,Y,0,0,0
91914,4,2021,R,N,4896,1140599,233
91915,4,2021,A,Y,0,0,0
91915,4,2021,C,Y,0,0,0
91915,4,2021,I,Y,0,0,0
91915,4,2021,R,N,9957,2711930,272
91916,4,2021,A,Y,0,0,0
91916,4,2021,C,Y,0,0,0
91916,4,2021,I,Y,0,0,0
91916,4,2021,R,Y,0,0,0
91917,4,2021,A,Y,0,0,0
91917,4,2021,C,Y,0,0,0
91917,4,2021,I,Y,0,0,0
91917,4,2021,R,N,208,126384,608
91931,4,2021,A,Y,0,0,0
91931,4,2021,C,Y,0,0,0
91931,4,2021,I,Y,0,0,0
91931,4,2021,R,Y,0,0,0
91932,4,2021,A,Y,0,0,0
91932,4,2021,C,Y,0,0,0
91932,4,2021,I,Y,0,0,0
91932,4,2021,R,N,9278,2359587,254
91934,4,2021,A,Y,0,0,0
91934,4,2021,C,Y,0,0,0
91934,4,2021,I,Y,0,0,0
91934,4,2021,R,Y,0,0,0
91935,4,2021,A,Y,0,0,0
91935,4,2021,C,Y,0,0,0
91935,4,2021,I,Y,0,0,0
91935,4,2021,R,N,2814,968767,344
91941,4,2021,A,Y,0,0,0
91941,4,2021,C,Y,0,0,0
91941,4,2021,I,Y,0,0,0
91941,4,2021,R,N,12020,3392890,282
91942,4,2021,A,Y,0,0,0
91942,4,2021,C,Y,0,0,0
91942,4,2021,I,Y,0,0,0
91942,4,2021,R,N,16398,4489618,274
91945,4,2021,A,Y,0,0,0
91945,4,2021,C,N,587,2405574,4098
91945,4,2021,I,Y,0,0,0
91945,4,2021,R,N,8666,2334529,269
91948,4,2021,A,Y,0,0,0
91948,4,2021,C,Y,0,0,0
91948,4,2021,I,Y,0,0,0
91948,4,2021,R,Y,0,0,0
91950,4,2021,A,Y,0,0,0
91950,4,2021,C,Y,1914,13849009,7236
91950,4,2021,I,Y,0,0,0
91950,4,2021,R,Y,15109,4443675,294
91962,4,2021,A,Y,0,0,0
91962,4,2021,C,Y,0,0,0
91962,4,2021,I,Y,0,0,0
91962,4,2021,R,Y,0,0,0
91963,4,2021,A,Y,0,0,0
91963,4,2021,C,Y,0,0,0
91963,4,2021,I,Y,0,0,0
91963,4,2021,R,Y,0,0,0
91977,4,2021,A,Y,0,0,0
91977,4,2021,C,N,799,3330222,4168
91977,4,2021,I,Y,0,0,0
91977,4,2021,R,N,17854,5074315,284
91978,4,2021,A,Y,0,0,0
91978,4,2021,C,Y,0,0,0
91978,4,2021,I,Y,0,0,0
91978,4,2021,R,N,2774,1161480,419
91980,4,2021,A,Y,0,0,0
91980,4,2021,C,Y,0,0,0
91980,4,2021,I,Y,0,0,0
91980,4,2021,R,Y,0,0,0
92003,4,2021,A,Y,0,0,0
92003,4,2021,C,N,282,814107,2887
92003,4,2021,I,Y,0,0,0
92003,4,2021,R,N,1781,642239,361
92004,4,2021,A,Y,0,0,0
92004,4,2021,C,Y,0,0,0
92004,4,2021,I,Y,0,0,0
92004,4,2021,R,Y,2133,629293,295
92007,4,2021,A,Y,0,0,0
92007,4,2021,C,Y,0,0,0
92007,4,2021,I,Y,0,0,0
92007,4,2021,R,N,4300,1289686,300
92008,4,2021,A,Y,0,0,0
92008,4,2021,C,Y,0,0,0
92008,4,2021,I,Y,0,0,0
92008,4,2021,R,N,612,195609,320
92009,4,2021,A,Y,0,0,0
92009,4,2021,C,Y,0,0,0
92009,4,2021,I,Y,0,0,0
92009,4,2021,R,N,633,92880,147
92010,4,2021,A,Y,0,0,0
92010,4,2021,C,Y,0,0,0
92010,4,2021,I,Y,0,0,0
92010,4,2021,R,N,346,407849,1179
92011,4,2021,A,Y,0,0,0
92011,4,2021,C,Y,0,0,0
92011,4,2021,I,Y,0,0,0
92011,4,2021,R,N,484,99560,206
92014,4,2021,A,Y,0,0,0
92014,4,2021,C,Y,0,0,0
92014,4,2021,I,Y,0,0,0
92014,4,2021,R,N,3612,1305091,361
92019,4,2021,A,Y,0,0,0
92019,4,2021,C,N,549,4292062,7818
92019,4,2021,I,Y,0,0,0
92019,4,2021,R,N,14003,3941260,281
92020,4,2021,A,Y,0,0,0
92020,4,2021,C,N,2200,14188133,6449
92020,4,2021,I,Y,0,0,0
92020,4,2021,R,N,19615,5627758,287
92021,4,2021,A,Y,0,0,0
92021,4,2021,C,N,1237,6464273,5226
92021,4,2021,I,Y,0,0,0
92021,4,2021,R,N,20239,6504653,321
92024,4,2021,A,Y,0,0,0
92024,4,2021,C,Y,0,0,0
92024,4,2021,I,Y,0,0,0
92024,4,2021,R,Y,18670,5891908,316
92025,4,2021,A,Y,0,0,0
92025,4,2021,C,Y,2031,11483516,5654
92025,4,2021,I,Y,0,0,0
92025,4,2021,R,Y,14873,3920917,264
92026,4,2021,A,Y,0,0,0
92026,4,2021,C,N,587,4212089,7176
92026,4,2021,I,Y,0,0,0
92026,4,2021,R,N,17205,4754291,276
92027,4,2021,A,Y,0,0,0
92027,4,2021,C,Y,1566,11534322,7365
92027,4,2021,I,Y,0,0,0
92027,4,2021,R,Y,15407,4085334,265
92028,4,2021,A,Y,0,0,0
92028,4,2021,C,Y,1557,6905815,4435
92028,4,2021,I,Y,0,0,0
92028,4,2021,R,Y,16274,4848693,298
92029,4,2021,A,Y,0,0,0
92029,4,2021,C,Y,0,0,0
92029,4,2021,I,Y,0,0,0
92029,4,2021,R,N,6891,2396036,348
92036,4,2021,A,Y,0,0,0
92036,4,2021,C,Y,0,0,0
92036,4,2021,I,Y,0,0,0
92036,4,2021,R,Y,2253,956762,425
92037,4,2021,A,Y,0,0,0
92037,4,2021,C,Y,0,0,0
92037,4,2021,I,Y,0,0,0
92037,4,2021,R,Y,18079,7396277,409
92040,4,2021,A,Y,0,0,0
92040,4,2021,C,Y,0,0,0
92040,4,2021,I,Y,0,0,0
92040,4,2021,R,N,13476,4624031,343
92045,4,2021,C,Y,0,0,0
92045,4,2021,I,Y,0,0,0
92045,4,2021,R,Y,0,0,0
92049,4,2021,A,Y,0,0,0
92049,4,2021,C,Y,0,0,0
92049,4,2021,I,Y,0,0,0
92049,4,2021,R,Y,0,0,0
92054,4,2021,A,Y,0,0,0
92054,4,2021,C,Y,1321,9299841,7040
92054,4,2021,I,Y,0,0,0
92054,4,2021,R,Y,15176,4829071,318
92055,4,2021,A,Y,0,0,0
92055,4,2021,C,Y,0,0,0
92055,4,2021,I,Y,0,0,0
92055,4,2021,R,Y,0,0,0
92056,4,2021,A,Y,0,0,0
92056,4,2021,C,Y,0,0,0
92056,4,2021,I,Y,0,0,0
92056,4,2021,R,N,19308,5277876,273
92057,4,2021,A,Y,0,0,0
92057,4,2021,C,Y,0,0,0
92057,4,2021,I,Y,0,0,0
92057,4,2021,R,N,18809,4879413,259
92058,4,2021,A,Y,0,0,0
92058,4,2021,C,Y,0,0,0
92058,4,2021,I,Y,0,0,0
92058,4,2021,R,Y,6785,2274495,335
92059,4,2021,A,Y,0,0,0
92059,4,2021,C,Y,0,0,0
92059,4,2021,I,Y,0,0,0
92059,4,2021,R,N,531,248575,468
92060,4,2021,A,Y,0,0,0
92060,4,2021,C,Y,0,0,0
92060,4,2021,I,Y,0,0,0
92060,4,2021,R,Y,0,0,0
92061,4,2021,A,Y,0,0,0
92061,4,2021,C,Y,0,0,0
92061,4,2021,I,Y,0,0,0
92061,4,2021,R,N,978,468242,479
92064,4,2021,A,Y,0,0,0
92064,4,2021,C,Y,0,0,0
92064,4,2021,I,Y,0,0,0
92064,4,2021,R,Y,14965,3379666,226
