ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
91901,10,2012,C,Y,0,0,0
91901,10,2012,R,Y,2493,45583,18
91902,10,2012,C,Y,0,0,0
91902,10,2012,R,N,5725,976216,171
91905,10,2012,C,Y,0,0,0
91905,10,2012,R,Y,0,0,0
91906,10,2012,C,Y,0,0,0
91906,10,2012,R,Y,0,0,0
91910,10,2012,C,Y,0,0,0
91910,10,2012,R,Y,24471,422755,17
91911,10,2012,C,Y,520,119265,229
91911,10,2012,R,Y,19406,363157,19
91912,10,2012,C,Y,0,0,0
91912,10,2012,R,Y,0,0,0
91913,10,2012,C,N,83,15451,186
91913,10,2012,R,N,16147,247208,15
91914,10,2012,C,Y,0,0,0
91914,10,2012,R,N,5662,99010,17
91915,10,2012,C,Y,86,21433,249
91915,10,2012,R,Y,9767,148852,15
91916,10,2012,C,Y,0,0,0
91916,10,2012,R,Y,0,0,0
91917,10,2012,C,Y,0,0,0
91917,10,2012,R,Y,0,0,0
91931,10,2012,C,Y,0,0,0
91931,10,2012,R,Y,0,0,0
91932,10,2012,C,N,174,26180,150
91932,10,2012,R,N,10052,189702,19
91934,10,2012,C,Y,0,0,0
91934,10,2012,R,Y,0,0,0
91935,10,2012,C,Y,0,0,0
91935,10,2012,R,N,230,6782,29
91941,10,2012,C,Y,0,0,0
91941,10,2012,R,N,12545,222658,18
91942,10,2012,C,Y,0,0,0
91942,10,2012,R,N,12454,232402,19
91945,10,2012,C,N,343,37054,108
91945,10,2012,R,N,8960,147285,16
91948,10,2012,C,Y,0,0,0
91948,10,2012,R,Y,0,0,0
91950,10,2012,C,Y,0,0,0
91950,10,2012,R,Y,13695,237143,17
91962,10,2012,C,Y,0,0,0
91962,10,2012,R,Y,0,0,0
91963,10,2012,C,Y,0,0,0
91963,10,2012,R,Y,0,0,0
91977,10,2012,C,N,357,37696,106
91977,10,2012,R,N,17435,303362,17
91978,10,2012,C,Y,0,0,0
91978,10,2012,R,N,2725,57680,21
91980,10,2012,C,Y,0,0,0
91980,10,2012,R,Y,0,0,0
92003,10,2012,C,Y,0,0,0
92003,10,2012,R,N,166,3356,20
92004,10,2012,C,Y,0,0,0
92004,10,2012,R,Y,349,4957,14
92007,10,2012,C,Y,0,0,0
92007,10,2012,R,N,4793,79888,17
92008,10,2012,C,N,599,176586,295
92008,10,2012,R,N,11794,219949,19
92009,10,2012,C,N,192,77023,401
92009,10,2012,R,N,17402,2258845,130
92010,10,2012,C,Y,0,0,0
92010,10,2012,R,N,6190,91517,15
92011,10,2012,C,Y,0,0,0
92011,10,2012,R,N,10146,177901,18
92014,10,2012,C,N,192,46409,242
92014,10,2012,R,N,6252,127906,20
92019,10,2012,C,Y,0,0,0
92019,10,2012,R,N,13545,2131005,157
92020,10,2012,C,Y,0,0,0
92020,10,2012,R,N,16129,1271389,79
92021,10,2012,C,N,589,110826,188
92021,10,2012,R,N,16098,355753,22
92024,10,2012,C,Y,887,193807,218
92024,10,2012,R,Y,18480,380321,21
92025,10,2012,C,Y,1465,244964,167
92025,10,2012,R,Y,12985,260749,20
92026,10,2012,C,Y,190,39367,207
92026,10,2012,R,Y,11484,213030,19
92027,10,2012,C,Y,255,52868,207
92027,10,2012,R,Y,14528,1899756,131
92028,10,2012,C,Y,0,0,0
92028,10,2012,R,Y,9844,193849,20
92029,10,2012,C,Y,0,0,0
92029,10,2012,R,N,6411,111946,17
92036,10,2012,C,Y,0,0,0
92036,10,2012,R,Y,0,0,0
92037,10,2012,C,Y,0,0,0
92037,10,2012,R,Y,16998,386659,23
92040,10,2012,C,N,226,22824,101
92040,10,2012,R,N,9922,174299,18
92045,10,2012,C,Y,0,0,0
92045,10,2012,R,Y,0,0,0
92049,10,2012,C,Y,0,0,0
92049,10,2012,R,Y,0,0,0
92054,10,2012,C,Y,736,143927,196
92054,10,2012,R,Y,14190,281823,20
92055,10,2012,C,Y,0,0,0
92055,10,2012,R,Y,0,0,0
92056,10,2012,C,Y,0,0,0
92056,10,2012,R,N,22020,2267773,103
92057,10,2012,C,Y,0,0,0
92057,10,2012,R,N,21077,370912,18
92058,10,2012,C,Y,0,0,0
92058,10,2012,R,Y,7356,193776,26
92059,10,2012,C,Y,0,0,0
92059,10,2012,R,Y,0,0,0
92060,10,2012,C,Y,0,0,0
92060,10,2012,R,Y,0,0,0
92061,10,2012,C,Y,0,0,0
92061,10,2012,R,Y,0,0,0
92064,10,2012,C,Y,812,142863,176
92064,10,2012,R,Y,14867,304538,20
92065,10,2012,C,Y,0,0,0
92065,10,2012,R,Y,0,0,0
92066,10,2012,C,Y,0,0,0
92066,10,2012,R,Y,0,0,0
92067,10,2012,C,Y,0,0,0
92067,10,2012,R,N,2291,132043,58
92068,10,2012,C,Y,0,0,0
92068,10,2012,R,Y,0,0,0
92069,10,2012,C,Y,372,107200,288
92069,10,2012,R,Y,12599,249041,20
92070,10,2012,C,Y,0,0,0
92070,10,2012,R,Y,0,0,0
92071,10,2012,C,Y,454,78320,173
92071,10,2012,R,Y,17642,271825,15
92072,10,2012,C,Y,0,0,0
92072,10,2012,R,Y,0,0,0
92075,10,2012,C,N,285,39329,138
92075,10,2012,R,N,5406,94110,17
92078,10,2012,C,N,568,119674,211
92078,10,2012,R,N,17099,276519,16
92079,10,2012,C,Y,0,0,0
92079,10,2012,R,Y,0,0,0
92081,10,2012,C,Y,761,174280,229
92081,10,2012,R,Y,11670,173624,15
92082,10,2012,C,Y,0,0,0
92082,10,2012,R,Y,597,17130,29
92083,10,2012,C,Y,0,0,0
92083,10,2012,R,N,9779,1155681,118
92084,10,2012,C,Y,438,78835,180
92084,10,2012,R,Y,11293,232402,21
92085,10,2012,C,Y,0,0,0
92085,10,2012,R,Y,0,0,0
92086,10,2012,C,Y,0,0,0
92086,10,2012,R,Y,0,0,0
92091,10,2012,C,Y,0,0,0
92091,10,2012,R,N,801,41737,52
92092,10,2012,C,Y,0,0,0
92092,10,2012,R,Y,0,0,0
92093,10,2012,C,Y,0,0,0
92093,10,2012,R,Y,0,0,0
92096,10,2012,C,Y,0,0,0
92096,10,2012,R,Y,0,0,0
92101,10,2012,C,Y,1053,344100,327
92101,10,2012,R,Y,3564,84215,24
92102,10,2012,C,N,400,74921,187
92102,10,2012,R,N,14933,273475,18
92103,10,2012,C,Y,1236,349393,283
92103,10,2012,R,Y,15663,1174699,75
92104,10,2012,C,N,514,111010,216
92104,10,2012,R,N,22669,361588,16
92105,10,2012,C,N,416,85515,206
92105,10,2012,R,N,19895,368039,18
92106,10,2012,C,Y,285,86149,302
92106,10,2012,R,Y,7887,148106,19
92107,10,2012,C,N,298,45877,154
92107,10,2012,R,N,14320,222554,16
92108,10,2012,C,Y,0,0,0
92108,10,2012,R,N,6165,109826,18
92109,10,2012,C,N,762,190022,249
92109,10,2012,R,N,23230,351979,15
92110,10,2012,C,Y,0,0,0
92110,10,2012,R,N,8819,149208,17
92111,10,2012,C,Y,1590,352710,222
92111,10,2012,R,Y,14265,251771,18
92112,10,2012,C,Y,0,0,0
92112,10,2012,R,Y,0,0,0
92113,10,2012,C,N,416,84332,203
92113,10,2012,R,N,13303,1231694,93
92114,10,2012,C,N,151,16726,111
92114,10,2012,R,N,18945,1298138,69
92115,10,2012,C,Y,575,126313,220
92115,10,2012,R,Y,21532,1333976,62
92116,10,2012,C,Y,0,0,0
92116,10,2012,R,N,18601,270846,15
92117,10,2012,C,Y,0,0,0
92117,10,2012,R,N,20796,352391,17
92118,10,2012,C,Y,0,0,0
92118,10,2012,R,Y,7526,138513,18
92119,10,2012,C,N,122,20434,167
92119,10,2012,R,N,8669,137556,16
92120,10,2012,C,Y,0,0,0
92120,10,2012,R,N,10449,2174538,208
92121,10,2012,C,Y,1984,713170,359
92121,10,2012,R,Y,1314,19450,15
92122,10,2012,C,N,205,84343,411
92122,10,2012,R,N,12005,238807,20
92123,10,2012,C,Y,660,154548,234
92123,10,2012,R,Y,10783,175125,16
92124,10,2012,C,Y,0,0,0
92124,10,2012,R,N,9061,150572,17
92126,10,2012,C,Y,0,0,0
92126,10,2012,R,Y,24197,1348520,56
92127,10,2012,C,N,217,69731,321
92127,10,2012,R,N,13904,292701,21
92128,10,2012,C,Y,300,110162,367
92128,10,2012,R,Y,23501,344943,15
92129,10,2012,C,N,184,52354,285
92129,10,2012,R,N,18709,293826,16
92130,10,2012,C,N,193,84152,436
92130,10,2012,R,N,21286,2305834,108
92131,10,2012,C,Y,0,0,0
92131,10,2012,R,Y,14221,235692,17
92132,10,2012,C,Y,0,0,0
92132,10,2012,R,Y,0,0,0
92134,10,2012,C,Y,0,0,0
92134,10,2012,R,Y,0,0,0
92135,10,2012,C,Y,0,0,0
92135,10,2012,R,Y,0,0,0
92136,10,2012,C,Y,0,0,0
92136,10,2012,R,Y,0,0,0
92139,10,2012,C,Y,0,0,0
92139,10,2012,R,N,9494,177814,19
92145,10,2012,C,Y,0,0,0
92145,10,2012,R,Y,0,0,0
92152,10,2012,C,Y,0,0,0
92152,10,2012,R,Y,0,0,0
92154,10,2012,C,Y,0,0,0
92154,10,2012,R,Y,20122,354659,18
92155,10,2012,C,Y,0,0,0
92155,10,2012,R,Y,0,0,0
92158,10,2012,C,Y,0,0,0
92158,10,2012,R,Y,0,0,0
92161,10,2012,C,Y,0,0,0
92161,10,2012,R,Y,0,0,0
92173,10,2012,C,Y,0,0,0
92173,10,2012,R,N,7057,102385,15
92179,10,2012,C,Y,0,0,0
92179,10,2012,R,Y,0,0,0
92182,10,2012,C,Y,0,0,0
92182,10,2012,R,Y,0,0,0
92199,10,2012,C,Y,0,0,0
92199,10,2012,R,Y,0,0,0
92536,10,2012,C,Y,0,0,0
92536,10,2012,R,Y,0,0,0
