,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020,KCZZ 04/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,42,70,36,69,23,1951,91,1966,0.00,0.05,1.33,1965,
3,2,36,63,36,69,23,1976,87,1959,0.00,0.05,0.80,1968,
4,3,30,64,36,70,23,1976,88,1961,0.00,0.05,1.22,1965,
5,4,41,62,37,70,23,1955,90,1961,0.00,0.04,0.54,1999,
6,5,46,61,37,70,21,1955,90,1989,0.00,0.04,1.49,2006,
7,6,46,57,37,70,24,2003,91,1989,0.03,0.05,0.25,1975,
8,7,46,60,37,70,24,1970,99,1989,0.26,0.04,0.51,1999,
9,8,40,51,37,71,28,1983,92,1989,0.54,0.04,0.54,2020,
10,9,39,54,37,71,20,1953,88,2014,0.24,0.04,0.68,1965,
11,10,41,49,37,71,21,1953,90,1989,1.16,0.04,1.16,2020,
12,11,43,59,37,71,23,1963,87,1988,0.00,0.03,1.16,2016,
13,12,47,52,37,71,23,1953,90,1990,0.00,0.04,0.92,1967,
14,13,45,54,37,72,26,1953,92,1985,0.02,0.03,0.85,2012,
15,14,40,69,37,72,25,1972,92,1962,0.00,0.03,0.80,2003,
16,15,34,76,38,72,28,1970,93,1984,0.00,0.03,0.45,1998,
17,16,33,70,38,72,27,2008,92,1984,0.00,0.03,0.91,1976,
18,17,33,62,38,73,24,1976,91,1954,0.00,0.03,0.78,1963,
19,18,47,59,38,73,26,2002,91,1989,0.04,0.02,0.66,1971,
20,19,48,63,38,73,22,1968,92,1989,0.00,0.03,0.52,1967,
21,20,50,66,38,74,24,2002,88,2009,0.00,0.02,0.57,1988,
22,21,49,66,38,74,25,1973,91,2009,0.00,0.02,0.55,1983,
23,22,43,84,39,74,23,1963,90,2017,0.00,0.03,0.60,2010,
24,23,43,83,39,74,26,1970,89,1996,0.00,0.02,0.72,1980,
25,24,47,88,39,75,27,1963,89,1996,0.00,0.03,0.63,1990,
26,25,50,93,39,75,23,1961,93,2020,0.00,0.02,0.80,1951,
27,26,45,86,39,75,21,1974,95,1996,0.00,0.02,0.65,1963,
28,27,41,82,39,75,27,1975,92,2004,0.00,0.03,1.22,1960,
29,28,41,91,40,76,29,1969,92,1992,0.00,0.02,0.94,1953,
30,29,47,88,40,76,24,1970,92,1996,0.00,0.02,1.45,1951,
31,30,48,80,40,76,24,1967,92,1996,0.00,0.02,0.60,1951,
32,Average:,42.7,68.7,37.8,72.5,,,,,Total: 2.29,Total: 0.96,,,
