,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013,KCRQ 07/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,66,82,62,72,M,M,M,M,0.00,0.01,M,M,
3,2,68,74,62,72,M,M,M,M,0.00,0.00,M,M,
4,3,67,75,62,72,M,M,M,M,0.00,0.01,M,M,
5,4,66,75,62,72,M,M,M,M,0.00,0.00,M,M,
6,5,66,74,62,73,M,M,M,M,0.00,0.01,M,M,
7,6,67,73,62,73,M,M,M,M,0.00,0.00,M,M,
8,7,67,74,62,73,M,M,M,M,0.00,0.01,M,M,
9,8,67,76,63,73,M,M,M,M,0.00,0.00,M,M,
10,9,68,77,63,73,M,M,M,M,0.00,0.00,M,M,
11,10,69,77,63,73,M,M,M,M,T,0.01,M,M,
12,11,68,76,63,73,M,M,M,M,T,0.00,M,M,
13,12,68,76,63,73,M,M,M,M,0.00,0.00,M,M,
14,13,67,74,63,73,M,M,M,M,0.00,0.01,M,M,
15,14,67,76,63,73,M,M,M,M,0.00,0.00,M,M,
16,15,67,76,64,73,M,M,M,M,0.00,0.01,M,M,
17,16,66,76,64,73,M,M,M,M,0.00,0.00,M,M,
18,17,62,77,64,73,M,M,M,M,0.00,0.01,M,M,
19,18,67,73,64,73,M,M,M,M,0.00,0.00,M,M,
20,19,65,71,64,73,M,M,M,M,0.00,0.00,M,M,
21,20,65,71,64,73,M,M,M,M,0.00,0.01,M,M,
22,21,66,71,64,73,M,M,M,M,T,0.00,M,M,
23,22,67,74,64,73,M,M,M,M,0.00,0.00,M,M,
24,23,68,74,64,74,M,M,M,M,0.00,0.00,M,M,
25,24,66,72,64,74,M,M,M,M,0.00,0.00,M,M,
26,25,64,72,64,74,M,M,M,M,0.00,0.00,M,M,
27,26,66,75,64,74,M,M,M,M,0.00,0.01,M,M,
28,27,64,70,65,74,M,M,M,M,0.00,0.00,M,M,
29,28,63,71,65,74,M,M,M,M,0.00,0.00,M,M,
30,29,63,71,65,74,M,M,M,M,0.00,0.00,M,M,
31,30,64,72,65,74,M,M,M,M,0.00,0.00,M,M,
32,31,64,70,65,74,M,M,M,M,0.00,0.00,M,M,
33,Average:,66.1,74.0,63.5,73.2,,,,,Total: 0.00,Total: 0.10,,,
