,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013,KCRQ 11/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,53,80,55,71,M,M,M,M,0.00,0.07,M,M,
3,2,57,76,55,71,M,M,M,M,0.00,0.05,M,M,
4,3,57,68,54,71,M,M,M,M,0.00,0.06,M,M,
5,4,56,66,54,70,M,M,M,M,0.00,0.04,M,M,
6,5,52,72,54,70,M,M,M,M,0.00,0.04,M,M,
7,6,51,77,54,70,M,M,M,M,0.00,0.04,M,M,
8,7,53,83,53,70,M,M,M,M,0.00,0.04,M,M,
9,8,53,76,53,70,M,M,M,M,0.00,0.04,M,M,
10,9,47,71,53,70,M,M,M,M,0.00,0.04,M,M,
11,10,54,81,53,69,M,M,M,M,0.00,0.05,M,M,
12,11,52,71,52,69,M,M,M,M,0.00,0.03,M,M,
13,12,54,75,52,69,M,M,M,M,0.00,0.03,M,M,
14,13,57,84,52,69,M,M,M,M,0.00,0.04,M,M,
15,14,59,85,52,69,M,M,M,M,0.00,0.03,M,M,
16,15,58,65,51,68,M,M,M,M,T,0.03,M,M,
17,16,55,66,51,68,M,M,M,M,T,0.04,M,M,
18,17,53,66,51,68,M,M,M,M,0.00,0.03,M,M,
19,18,53,67,51,68,M,M,M,M,T,0.04,M,M,
20,19,59,64,50,67,M,M,M,M,0.01,0.03,M,M,
21,20,58,66,50,67,M,M,M,M,0.18,0.04,M,M,
22,21,57,62,50,67,M,M,M,M,0.47,0.04,M,M,
23,22,50,59,50,67,M,M,M,M,0.09,0.03,M,M,
24,23,50,66,49,67,M,M,M,M,0.00,0.04,M,M,
25,24,48,64,49,66,M,M,M,M,0.00,0.03,M,M,
26,25,47,68,49,66,M,M,M,M,0.00,0.03,M,M,
27,26,48,70,49,66,M,M,M,M,0.00,0.03,M,M,
28,27,53,69,49,66,M,M,M,M,0.00,0.03,M,M,
29,28,49,64,48,66,M,M,M,M,0.00,0.03,M,M,
30,29,55,65,48,65,M,M,M,M,0.15,0.02,M,M,
31,30,52,68,48,65,M,M,M,M,0.00,0.03,M,M,
32,Average:,53.3,70.5,51.3,68.2,,,,,Total: 0.90,Total: 1.12,,,
