,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013,KCRQ 10/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,55,73,61,73,M,M,M,M,0.00,0.00,M,M,
3,2,64,71,60,73,M,M,M,M,0.00,0.00,M,M,
4,3,65,72,60,73,M,M,M,M,0.00,0.01,M,M,
5,4,60,74,60,73,M,M,M,M,0.00,0.01,M,M,
6,5,58,93,60,73,M,M,M,M,0.00,0.01,M,M,
7,6,61,90,60,73,M,M,M,M,0.00,0.02,M,M,
8,7,61,78,60,73,M,M,M,M,0.00,0.01,M,M,
9,8,60,69,59,73,M,M,M,M,0.00,0.02,M,M,
10,9,58,65,59,73,M,M,M,M,0.26,0.02,M,M,
11,10,56,67,59,73,M,M,M,M,0.02,0.01,M,M,
12,11,53,69,59,73,M,M,M,M,0.00,0.02,M,M,
13,12,58,69,59,73,M,M,M,M,0.00,0.02,M,M,
14,13,57,69,59,73,M,M,M,M,0.00,0.02,M,M,
15,14,54,73,58,73,M,M,M,M,0.00,0.02,M,M,
16,15,58,83,58,73,M,M,M,M,0.00,0.03,M,M,
17,16,60,84,58,73,M,M,M,M,0.00,0.02,M,M,
18,17,58,80,58,72,M,M,M,M,0.00,0.02,M,M,
19,18,55,75,58,72,M,M,M,M,0.00,0.03,M,M,
20,19,56,77,57,72,M,M,M,M,0.00,0.02,M,M,
21,20,51,69,57,72,M,M,M,M,0.00,0.02,M,M,
22,21,53,68,57,72,M,M,M,M,0.00,0.03,M,M,
23,22,58,67,57,72,M,M,M,M,0.00,0.02,M,M,
24,23,62,67,57,72,M,M,M,M,0.00,0.03,M,M,
25,24,61,68,57,72,M,M,M,M,0.00,0.02,M,M,
26,25,60,68,56,72,M,M,M,M,0.00,0.03,M,M,
27,26,58,66,56,72,M,M,M,M,0.00,0.03,M,M,
28,27,58,65,56,72,M,M,M,M,0.00,0.02,M,M,
29,28,58,65,56,71,M,M,M,M,0.28,0.03,M,M,
30,29,56,65,56,71,M,M,M,M,0.13,0.03,M,M,
31,30,52,68,55,71,M,M,M,M,0.00,0.03,M,M,
32,31,51,75,55,71,M,M,M,M,0.00,0.03,M,M,
33,Average:,57.6,72.3,58.0,72.4,,,,,Total: 0.69,Total: 0.63,,,
