,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013,KCRQ 09/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,70,82,64,76,M,M,M,M,0.00,0.01,M,M,
3,2,69,80,64,76,M,M,M,M,0.00,0.01,M,M,
4,3,71,83,64,76,M,M,M,M,0.00,0.01,M,M,
5,4,71,84,64,75,M,M,M,M,0.00,0.00,M,M,
6,5,72,83,64,75,M,M,M,M,0.00,0.01,M,M,
7,6,72,86,64,75,M,M,M,M,T,0.01,M,M,
8,7,72,83,64,75,M,M,M,M,0.00,0.01,M,M,
9,8,67,79,64,75,M,M,M,M,0.00,0.02,M,M,
10,9,66,74,64,75,M,M,M,M,0.00,0.01,M,M,
11,10,66,74,64,75,M,M,M,M,0.00,0.01,M,M,
12,11,65,74,63,75,M,M,M,M,0.00,0.00,M,M,
13,12,62,76,63,75,M,M,M,M,0.00,0.01,M,M,
14,13,63,76,63,75,M,M,M,M,0.00,0.01,M,M,
15,14,65,76,63,75,M,M,M,M,0.00,0.01,M,M,
16,15,66,79,63,75,M,M,M,M,0.00,0.01,M,M,
17,16,66,77,63,75,M,M,M,M,0.00,0.00,M,M,
18,17,66,72,63,75,M,M,M,M,0.00,0.01,M,M,
19,18,64,73,63,74,M,M,M,M,0.00,0.01,M,M,
20,19,64,73,62,74,M,M,M,M,0.00,0.01,M,M,
21,20,66,70,62,74,M,M,M,M,0.00,0.00,M,M,
22,21,66,73,62,74,M,M,M,M,0.00,0.01,M,M,
23,22,62,73,62,74,M,M,M,M,0.00,0.01,M,M,
24,23,60,79,62,74,M,M,M,M,0.00,0.01,M,M,
25,24,63,79,62,74,M,M,M,M,0.00,0.00,M,M,
26,25,62,74,62,74,M,M,M,M,0.00,0.01,M,M,
27,26,60,71,61,74,M,M,M,M,0.00,0.01,M,M,
28,27,56,76,61,74,M,M,M,M,0.00,0.01,M,M,
29,28,59,85,61,74,M,M,M,M,0.00,0.00,M,M,
30,29,59,79,61,74,M,M,M,M,0.00,0.01,M,M,
31,30,57,77,61,74,M,M,M,M,0.00,0.01,M,M,
32,Average:,64.9,77.3,62.8,74.7,,,,,Total: 0.00,Total: 0.25,,,
