,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015,KCRQ 05/2015
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,59,75,55,67,M,M,M,M,0.00,0.01,M,M,
3,2,59,70,55,67,M,M,M,M,0.00,0.01,M,M,
4,3,60,66,55,67,M,M,M,M,0.00,0.02,M,M,
5,4,58,65,55,67,M,M,M,M,T,0.01,M,M,
6,5,59,65,56,67,M,M,M,M,0.00,0.01,M,M,
7,6,58,64,56,67,M,M,M,M,T,0.00,M,M,
8,7,57,62,56,67,M,M,M,M,0.02,0.01,M,M,
9,8,51,62,56,67,M,M,M,M,0.23,0.01,M,M,
10,9,54,65,56,67,M,M,M,M,0.00,0.00,M,M,
11,10,55,67,56,67,M,M,M,M,0.00,0.01,M,M,
12,11,58,68,56,67,M,M,M,M,0.00,0.01,M,M,
13,12,56,66,57,67,M,M,M,M,0.00,0.00,M,M,
14,13,56,64,57,67,M,M,M,M,0.00,0.01,M,M,
15,14,56,65,57,67,M,M,M,M,0.31,0.00,M,M,
16,15,55,65,57,67,M,M,M,M,0.43,0.01,M,M,
17,16,56,65,57,67,M,M,M,M,0.00,0.00,M,M,
18,17,56,66,57,67,M,M,M,M,0.00,0.01,M,M,
19,18,59,66,57,67,M,M,M,M,0.00,0.00,M,M,
20,19,56,66,57,67,M,M,M,M,0.00,0.01,M,M,
21,20,58,66,57,67,M,M,M,M,0.00,0.00,M,M,
22,21,59,65,57,67,M,M,M,M,T,0.01,M,M,
23,22,59,66,58,67,M,M,M,M,0.10,0.00,M,M,
24,23,58,66,58,67,M,M,M,M,0.03,0.00,M,M,
25,24,59,66,58,68,M,M,M,M,0.01,0.00,M,M,
26,25,59,65,58,68,M,M,M,M,T,0.01,M,M,
27,26,60,66,58,68,M,M,M,M,T,0.00,M,M,
28,27,59,67,58,68,M,M,M,M,0.00,0.01,M,M,
29,28,61,67,58,68,M,M,M,M,0.00,0.00,M,M,
30,29,60,69,58,68,M,M,M,M,0.00,0.00,M,M,
31,30,60,68,58,68,M,M,M,M,0.00,0.01,M,M,
32,31,60,66,58,68,M,M,M,M,0.00,0.00,M,M,
33,Average:,57.7,66.1,56.8,67.3,,,,,Total: 1.13,Total: 0.18,,,
