,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016,KCRQ 01/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,43,63,47,64,M,M,M,M,0.00,0.10,M,M,
3,2,41,61,47,64,M,M,M,M,0.00,0.11,M,M,
4,3,44,62,47,64,M,M,M,M,T,0.10,M,M,
5,4,54,63,47,64,M,M,M,M,0.04,0.10,M,M,
6,5,55,58,47,64,M,M,M,M,1.22,0.10,M,M,
7,6,50,60,47,64,M,M,M,M,0.66,0.09,M,M,
8,7,48,56,47,64,M,M,M,M,0.90,0.10,M,M,
9,8,45,59,47,64,M,M,M,M,0.00,0.10,M,M,
10,9,46,59,47,64,M,M,M,M,0.01,0.09,M,M,
11,10,52,60,47,64,M,M,M,M,0.00,0.10,M,M,
12,11,48,66,47,64,M,M,M,M,0.00,0.09,M,M,
13,12,42,68,47,64,M,M,M,M,0.00,0.10,M,M,
14,13,44,60,47,64,M,M,M,M,0.00,0.09,M,M,
15,14,50,62,47,64,M,M,M,M,0.00,0.09,M,M,
16,15,51,61,47,64,M,M,M,M,0.00,0.09,M,M,
17,16,50,64,47,64,M,M,M,M,0.00,0.10,M,M,
18,17,50,71,47,64,M,M,M,M,0.00,0.09,M,M,
19,18,56,62,47,64,M,M,M,M,0.00,0.08,M,M,
20,19,51,62,47,64,M,M,M,M,0.01,0.08,M,M,
21,20,57,66,47,64,M,M,M,M,0.00,0.07,M,M,
22,21,49,71,47,64,M,M,M,M,0.00,0.08,M,M,
23,22,50,70,47,64,M,M,M,M,0.00,0.08,M,M,
24,23,51,62,47,64,M,M,M,M,0.04,0.06,M,M,
25,24,50,63,47,64,M,M,M,M,0.00,0.05,M,M,
26,25,48,64,47,64,M,M,M,M,0.00,0.05,M,M,
27,26,48,74,47,64,M,M,M,M,0.00,0.02,M,M,
28,27,48,69,47,64,M,M,M,M,0.00,0.03,M,M,
29,28,47,71,47,64,M,M,M,M,0.00,0.05,M,M,
30,29,48,68,47,64,M,M,M,M,0.00,0.06,M,M,
31,30,50,63,47,64,M,M,M,M,0.08,0.08,M,M,
32,31,53,59,47,64,M,M,M,M,0.38,0.08,M,M,
33,Average:,49.0,63.8,47.0,64.0,,,,,Total: 3.34,Total: 2.51,,,
