,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017,KCRQ 07/2017
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,63,70,62,72,M,M,M,M,0.00,0.01,M,M,
3,2,64,71,62,72,M,M,M,M,0.00,0.00,M,M,
4,3,63,74,62,72,M,M,M,M,0.00,0.01,M,M,
5,4,64,73,62,72,M,M,M,M,0.00,0.00,M,M,
6,5,65,73,62,73,M,M,M,M,0.00,0.01,M,M,
7,6,65,75,62,73,M,M,M,M,0.00,0.00,M,M,
8,7,65,81,62,73,M,M,M,M,0.00,0.01,M,M,
9,8,69,81,63,73,M,M,M,M,0.00,0.00,M,M,
10,9,69,83,63,73,M,M,M,M,0.00,0.00,M,M,
11,10,69,78,63,73,M,M,M,M,0.00,0.01,M,M,
12,11,68,76,63,73,M,M,M,M,0.00,0.00,M,M,
13,12,69,76,63,73,M,M,M,M,0.00,0.00,M,M,
14,13,68,77,63,73,M,M,M,M,0.00,0.01,M,M,
15,14,67,75,63,73,M,M,M,M,0.00,0.00,M,M,
16,15,67,75,64,73,M,M,M,M,0.00,0.01,M,M,
17,16,66,76,64,73,M,M,M,M,0.00,0.00,M,M,
18,17,68,75,64,73,M,M,M,M,0.00,0.01,M,M,
19,18,67,74,64,73,M,M,M,M,0.00,0.00,M,M,
20,19,69,76,64,73,M,M,M,M,0.08,0.00,M,M,
21,20,68,77,64,73,M,M,M,M,0.00,0.01,M,M,
22,21,68,75,64,73,M,M,M,M,0.00,0.00,M,M,
23,22,68,74,64,73,M,M,M,M,0.00,0.00,M,M,
24,23,67,76,64,74,M,M,M,M,0.00,0.00,M,M,
25,24,68,76,64,74,M,M,M,M,T,0.00,M,M,
26,25,69,73,64,74,M,M,M,M,0.00,0.00,M,M,
27,26,69,75,64,74,M,M,M,M,0.00,0.01,M,M,
28,27,68,76,65,74,M,M,M,M,0.00,0.00,M,M,
29,28,67,74,65,74,M,M,M,M,0.00,0.00,M,M,
30,29,66,75,65,74,M,M,M,M,0.00,0.00,M,M,
31,30,66,75,65,74,M,M,M,M,0.00,0.00,M,M,
32,31,68,73,65,74,M,M,M,M,0.00,0.00,M,M,
33,Average:,67.0,75.4,63.5,73.2,,,,,Total: 0.08,Total: 0.10,,,
