,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018,KCRQ 04/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,54,62,51,65,M,M,M,M,0.00,0.04,M,M,
3,2,57,61,51,65,M,M,M,M,0.00,0.04,M,M,
4,3,56,64,51,65,M,M,M,M,0.00,0.04,M,M,
5,4,56,61,51,65,M,M,M,M,0.00,0.05,M,M,
6,5,55,63,51,65,M,M,M,M,0.00,0.04,M,M,
7,6,57,67,51,65,M,M,M,M,0.00,0.03,M,M,
8,7,56,67,51,65,M,M,M,M,0.00,0.04,M,M,
9,8,58,68,51,65,M,M,M,M,0.00,0.04,M,M,
10,9,55,80,52,65,M,M,M,M,0.00,0.04,M,M,
11,10,57,83,52,65,M,M,M,M,0.00,0.04,M,M,
12,11,58,75,52,65,M,M,M,M,0.00,0.04,M,M,
13,12,55,64,52,66,M,M,M,M,T,0.04,M,M,
14,13,51,75,52,66,M,M,M,M,0.00,0.04,M,M,
15,14,53,81,52,66,M,M,M,M,0.00,0.04,M,M,
16,15,53,75,52,66,M,M,M,M,0.00,0.04,M,M,
17,16,53,63,52,66,M,M,M,M,0.00,0.04,M,M,
18,17,48,62,53,66,M,M,M,M,0.00,0.03,M,M,
19,18,49,65,53,66,M,M,M,M,0.00,0.03,M,M,
20,19,51,60,53,66,M,M,M,M,0.04,0.03,M,M,
21,20,49,70,53,66,M,M,M,M,0.00,0.04,M,M,
22,21,51,74,53,66,M,M,M,M,0.00,0.03,M,M,
23,22,55,72,53,66,M,M,M,M,0.00,0.03,M,M,
24,23,55,67,54,66,M,M,M,M,0.00,0.03,M,M,
25,24,54,67,54,66,M,M,M,M,0.00,0.03,M,M,
26,25,54,64,54,66,M,M,M,M,0.00,0.03,M,M,
27,26,56,64,54,67,M,M,M,M,0.00,0.02,M,M,
28,27,55,64,54,67,M,M,M,M,0.00,0.03,M,M,
29,28,52,65,54,67,M,M,M,M,0.00,0.03,M,M,
30,29,58,65,55,67,M,M,M,M,0.00,0.01,M,M,
31,30,56,64,55,67,M,M,M,M,T,0.01,M,M,
32,Average:,54.2,67.7,52.5,65.8,,,,,Total: 0.04,Total: 1.02,,,
