,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019,KCRQ 12/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,48,63,48,65,M,M,M,M,0.00,0.03,M,M,
3,2,49,68,48,65,M,M,M,M,0.00,0.03,M,M,
4,3,52,66,47,65,M,M,M,M,T,0.03,M,M,
5,4,56,61,47,65,M,M,M,M,1.17,0.03,M,M,
6,5,53,66,47,65,M,M,M,M,0.00,0.03,M,M,
7,6,52,68,47,64,M,M,M,M,0.13,0.04,M,M,
8,7,59,65,47,64,M,M,M,M,0.03,0.04,M,M,
9,8,56,62,47,64,M,M,M,M,0.07,0.04,M,M,
10,9,50,63,47,64,M,M,M,M,0.28,0.03,M,M,
11,10,48,65,47,64,M,M,M,M,0.00,0.03,M,M,
12,11,47,65,46,64,M,M,M,M,0.00,0.03,M,M,
13,12,50,65,46,64,M,M,M,M,0.00,0.04,M,M,
14,13,50,68,46,64,M,M,M,M,0.00,0.03,M,M,
15,14,57,63,46,64,M,M,M,M,T,0.04,M,M,
16,15,49,62,46,64,M,M,M,M,0.00,0.04,M,M,
17,16,46,70,46,64,M,M,M,M,0.00,0.05,M,M,
18,17,41,70,46,64,M,M,M,M,0.00,0.04,M,M,
19,18,43,62,46,64,M,M,M,M,0.00,0.05,M,M,
20,19,42,62,46,63,M,M,M,M,0.00,0.04,M,M,
21,20,45,75,46,63,M,M,M,M,0.00,0.06,M,M,
22,21,48,71,46,63,M,M,M,M,0.00,0.06,M,M,
23,22,52,65,46,63,M,M,M,M,0.00,0.06,M,M,
24,23,52,57,46,63,M,M,M,M,0.84,0.06,M,M,
25,24,50,60,46,63,M,M,M,M,0.04,0.07,M,M,
26,25,47,58,46,63,M,M,M,M,0.07,0.07,M,M,
27,26,43,55,46,63,M,M,M,M,1.37,0.09,M,M,
28,27,41,59,46,63,M,M,M,M,0.00,0.10,M,M,
29,28,43,59,46,63,M,M,M,M,0.00,0.11,M,M,
30,29,45,62,46,64,M,M,M,M,0.00,0.12,M,M,
31,30,50,60,46,64,M,M,M,M,0.00,0.11,M,M,
32,31,50,70,47,64,M,M,M,M,0.00,0.11,M,M,
33,Average:,48.8,64.0,46.4,63.8,,,,,Total: 4.00,Total: 1.71,,,
