,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020,KCRQ 02/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,51,78,47,64,M,M,M,M,0.00,0.05,M,M,
3,2,53,68,47,64,M,M,M,M,T,0.05,M,M,
4,3,50,62,47,64,M,M,M,M,T,0.05,M,M,
5,4,41,62,47,64,M,M,M,M,0.00,0.06,M,M,
6,5,36,59,47,64,M,M,M,M,0.00,0.06,M,M,
7,6,45,62,48,64,M,M,M,M,0.00,0.06,M,M,
8,7,44,61,48,64,M,M,M,M,0.00,0.07,M,M,
9,8,46,66,48,64,M,M,M,M,0.00,0.07,M,M,
10,9,51,57,48,64,M,M,M,M,0.20,0.08,M,M,
11,10,49,59,48,64,M,M,M,M,0.09,0.08,M,M,
12,11,47,69,48,64,M,M,M,M,0.00,0.09,M,M,
13,12,45,62,48,64,M,M,M,M,0.00,0.10,M,M,
14,13,44,64,48,64,M,M,M,M,0.00,0.11,M,M,
15,14,44,62,48,64,M,M,M,M,0.00,0.10,M,M,
16,15,44,65,48,64,M,M,M,M,0.00,0.11,M,M,
17,16,45,64,48,64,M,M,M,M,0.00,0.10,M,M,
18,17,46,62,48,64,M,M,M,M,0.00,0.10,M,M,
19,18,51,62,48,64,M,M,M,M,0.00,0.11,M,M,
20,19,52,62,48,64,M,M,M,M,0.00,0.10,M,M,
21,20,48,69,48,64,M,M,M,M,0.00,0.10,M,M,
22,21,51,72,48,64,M,M,M,M,T,0.11,M,M,
23,22,52,60,49,64,M,M,M,M,0.63,0.11,M,M,
24,23,52,62,49,64,M,M,M,M,0.02,0.10,M,M,
25,24,50,63,49,64,M,M,M,M,0.00,0.11,M,M,
26,25,48,79,49,64,M,M,M,M,0.00,0.11,M,M,
27,26,57,80,49,64,M,M,M,M,0.00,0.09,M,M,
28,27,53,81,49,64,M,M,M,M,0.00,0.08,M,M,
29,28,57,85,49,64,M,M,M,M,0.00,0.08,M,M,
30,29,51,66,49,64,M,M,M,M,0.00,0.10,M,M,
31,Average:,48.4,66.3,48.1,64.0,,,,,Total: 0.94,Total: 2.54,,,
