,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020,KCRQ 03/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,51,59,49,64,M,M,M,M,0.02,0.11,M,M,
3,2,48,63,49,64,M,M,M,M,0.00,0.12,M,M,
4,3,47,76,49,64,M,M,M,M,0.00,0.12,M,M,
5,4,52,64,49,64,M,M,M,M,0.00,0.11,M,M,
6,5,52,70,49,63,M,M,M,M,0.00,0.10,M,M,
7,6,54,64,50,63,M,M,M,M,0.00,0.10,M,M,
8,7,55,62,50,63,M,M,M,M,0.04,0.10,M,M,
9,8,53,62,50,63,M,M,M,M,0.01,0.09,M,M,
10,9,50,69,50,63,M,M,M,M,0.12,0.08,M,M,
11,10,56,68,50,64,M,M,M,M,0.64,0.07,M,M,
12,11,59,67,50,64,M,M,M,M,0.00,0.07,M,M,
13,12,54,61,50,64,M,M,M,M,1.52,0.05,M,M,
14,13,54,59,50,64,M,M,M,M,0.43,0.03,M,M,
15,14,55,62,50,64,M,M,M,M,T,0.02,M,M,
16,15,54,62,50,64,M,M,M,M,0.01,0.03,M,M,
17,16,53,63,50,64,M,M,M,M,0.37,0.02,M,M,
18,17,49,59,50,64,M,M,M,M,0.02,0.02,M,M,
19,18,47,57,50,64,M,M,M,M,0.31,0.03,M,M,
20,19,50,61,50,64,M,M,M,M,0.34,0.03,M,M,
21,20,50,62,50,64,M,M,M,M,T,0.04,M,M,
22,21,52,63,50,64,M,M,M,M,0.00,0.02,M,M,
23,22,51,68,50,64,M,M,M,M,0.68,0.03,M,M,
24,23,53,62,50,64,M,M,M,M,0.02,0.02,M,M,
25,24,53,63,50,64,M,M,M,M,T,0.04,M,M,
26,25,55,62,51,64,M,M,M,M,T,0.02,M,M,
27,26,50,59,51,64,M,M,M,M,T,0.04,M,M,
28,27,46,60,51,64,M,M,M,M,0.01,0.03,M,M,
29,28,47,61,51,64,M,M,M,M,0.00,0.03,M,M,
30,29,49,62,51,64,M,M,M,M,0.00,0.03,M,M,
31,30,52,67,51,64,M,M,M,M,T,0.03,M,M,
32,31,54,67,51,64,M,M,M,M,0.00,0.05,M,M,
33,Average:,51.8,63.4,50.1,63.8,,,,,Total: 4.54,Total: 1.68,,,
