,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021,KCRQ 08/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,60,76,65,75,58,1999,84,2000,0.00,0.00,0.04,2011,
3,2,63,80,65,75,59,1998,84,2017,0.00,0.00,0.03,2014,
4,3,63,74,65,75,60,1999,81,2017,0.00,0.00,0.04,2006,
5,4,62,73,65,75,62,M,81,2009,0.00,0.00,0.00,2020,
6,5,64,75,65,75,61,2006,82,2015,0.00,0.00,0.00,2020,
7,6,63,72,65,75,58,2004,78,2018,0.00,0.00,0.00,2020,
8,7,62,71,65,75,61,2020,84,2018,0.00,0.01,0.00,2020,
9,8,63,74,65,75,59,2002,87,2018,0.00,0.00,0.00,2020,
10,9,64,75,65,76,59,1999,86,2018,0.00,0.00,T,1998,
11,10,65,76,65,76,62,2013,86,2018,0.00,0.00,T,1998,
12,11,68,82,65,76,62,2013,84,2003,0.00,0.00,0.00,2020,
13,12,69,80,65,76,60,2020,84,2012,0.00,0.00,0.00,2020,
14,13,67,82,65,76,61,1999,86,2020,0.00,0.00,0.01,2000,
15,14,67,78,65,76,60,1999,85,2020,0.00,0.00,0.00,2020,
16,15,66,75,65,76,59,2010,84,2015,0.00,0.00,0.00,2020,
17,16,67,76,65,76,58,1999,87,2015,0.00,0.00,0.00,2020,
18,17,69,75,65,76,61,2017,85,2012,0.00,0.00,0.00,2020,
19,18,68,76,65,76,61,1999,86,2020,0.01,0.00,0.01,2021,
20,19,68,75,65,76,60,1999,83,2007,0.00,0.01,0.01,2002,
21,20,67,72,65,76,61,1999,84,2020,T,0.00,0.29,2014,
22,21,63,74,65,76,60,1999,90,2020,0.07,0.00,T,2009,
23,22,64,71,65,76,61,2005,88,2020,0.03,0.00,T,2009,
24,23,62,75,65,76,60,2001,83,2020,0.00,0.00,T,2017,
25,24,60,74,65,76,57,2002,83,2010,0.00,0.00,0.00,2020,
26,25,63,75,65,76,59,2002,86,2015,0.00,0.00,T,2015,
27,26,65,79,65,76,61,2002,88,2007,0.00,0.00,0.30,2007,
28,27,64,77,65,76,61,2006,93,2009,0.00,0.00,0.01,2006,
29,28,63,73,65,76,59,2001,91,2009,0.00,0.01,T,2012,
30,29,62,73,65,76,61,2001,91,2009,T,0.00,0.02,2000,
31,30,67,74,65,76,61,2002,91,2013,0.00,0.00,T,2000,
32,31,66,70,65,76,60,2010,95,1998,0.04,0.00,T,1998,
33,Average:,64.6,75.2,65.0,75.7,,,,,Total: 0.15,Total: 0.03,,,
