,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021,KCRQ 06/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,58,64,59,68,53,1999,72,2020,0.00,0.00,0.02,1999,
3,2,58,65,59,68,54,1999,75,2006,0.00,0.01,0.17,1999,
4,3,59,65,59,68,51,1999,82,2020,0.00,0.00,0.14,1999,
5,4,58,67,59,68,51,1999,76,2006,0.00,0.01,0.01,2005,
6,5,59,67,59,68,50,1999,72,2006,0.00,0.00,0.05,2011,
7,6,58,66,59,68,54,2000,76,2008,0.00,0.01,0.03,2020,
8,7,57,61,59,69,55,2007,71,2000,0.01,0.00,0.01,2021,
9,8,59,66,59,69,56,2010,79,2020,0.00,0.00,0.03,1998,
10,9,58,68,60,69,55,2010,77,2015,0.00,0.00,0.01,2003,
11,10,56,67,60,69,54,2010,84,2019,0.00,0.00,0.02,2005,
12,11,56,70,60,69,52,2010,78,2020,0.00,0.01,0.04,1998,
13,12,57,72,60,69,53,2010,72,2021,0.00,0.00,0.07,1998,
14,13,59,70,60,69,52,2010,74,2006,0.00,0.00,T,2009,
15,14,59,72,60,70,56,2010,78,2006,0.00,0.00,0.00,2020,
16,15,61,84,60,70,55,2010,84,2021,0.00,0.00,0.02,2001,
17,16,62,72,60,70,57,2002,79,2006,0.00,0.00,0.06,1998,
18,17,61,70,60,70,57,2010,77,2006,0.00,0.01,0.00,2020,
19,18,62,68,61,70,58,2007,80,2008,0.00,0.00,0.00,2020,
20,19,62,68,61,70,55,2005,83,2016,0.00,0.00,0.05,2004,
21,20,60,68,61,71,57,2005,85,2016,0.00,0.00,0.01,2001,
22,21,60,69,61,71,56,1999,75,2005,0.00,0.00,0.06,2019,
23,22,62,69,61,71,57,2010,83,2008,T,0.00,T,2021,
24,23,63,71,61,71,56,1999,79,2001,T,0.00,0.05,2003,
25,24,61,69,61,71,57,2005,75,2006,0.00,0.00,T,2006,
26,25,60,71,61,72,56,2003,85,2006,0.00,0.00,T,2020,
27,26,62,68,62,72,56,2012,84,2006,0.00,0.01,0.00,2020,
28,27,62,69,62,72,58,1999,88,2006,0.00,0.00,T,2015,
29,28,62,69,62,72,57,1999,81,2006,0.00,0.00,T,2020,
30,29,62,69,62,72,59,2005,79,2006,0.00,0.00,0.11,2020,
31,30,63,69,62,72,59,2020,89,2015,0.00,0.00,0.05,2015,
32,Average:,59.9,68.8,60.3,69.9,,,,,Total: 0.01,Total: 0.06,,,
