,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013,KOKB 04/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,54,68,47,67,37,2000,81,2005,0.00,0.04,0.38,2004,
3,2,49,68,48,67,38,2012,77,2005,0.00,0.03,0.01,2004,
4,3,50,70,48,67,38,2012,74,2012,0.00,0.04,0.05,2001,
5,4,54,68,48,67,41,2012,73,2011,0.00,0.03,0.81,2006,
6,5,53,70,48,67,38,2009,79,2009,0.00,0.03,0.22,2010,
7,6,57,70,48,67,38,2009,84,2005,0.00,0.03,0.03,2011,
8,7,56,69,48,67,38,2009,81,2010,0.00,0.04,0.83,2001,
9,8,55,66,48,67,37,2012,79,2010,T,0.03,0.03,2011,
10,9,45,70,48,67,37,2012,73,2012,0.00,0.03,T,2008,
11,10,39,75,48,67,39,2013,75,2013,0.00,0.03,0.03,2001,
12,11,41,69,49,68,41,2013,79,2008,0.00,0.03,0.15,2012,
13,12,58,68,49,68,41,2012,92,2008,0.00,0.04,0.78,2010,
14,13,57,62,49,68,41,2009,88,2008,0.00,0.03,0.36,2012,
15,14,56,63,49,68,42,2007,79,2008,0.00,0.04,1.75,2003,
16,15,56,65,49,68,38,2012,78,2011,T,0.04,0.09,2006,
17,16,44,64,49,68,41,2009,82,2011,T,0.03,0.01,2001,
18,17,38,71,49,68,38,2013,78,2008,0.00,0.04,0.14,2004,
19,18,41,81,50,68,40,2009,81,2013,0.00,0.03,0.05,2010,
20,19,38,82,50,68,38,2013,90,2009,0.00,0.04,0.00,2006,
21,20,42,79,50,68,42,2013,98,2009,0.00,0.04,0.62,2007,
22,21,43,70,50,68,42,2008,86,2009,0.00,0.04,0.45,2010,
23,22,58,68,50,69,40,2002,70,2002,0.00,0.03,0.74,2010,
24,23,53,69,50,69,40,2010,77,2004,0.00,0.03,0.04,2006,
25,24,56,64,50,69,43,2006,80,2001,0.00,0.03,0.17,2002,
26,25,51,71,51,69,43,2006,84,2008,0.00,0.03,0.24,2012,
27,26,47,72,51,69,9,2011,91,2004,0.00,0.03,0.42,2012,
28,27,57,69,51,69,45,2002,97,2008,0.00,0.03,0.01,2005,
29,28,58,69,51,69,42,2002,91,2008,0.00,0.03,0.83,2005,
30,29,59,70,51,69,42,2002,71,2000,0.00,0.01,0.01,2005,
31,30,59,68,51,69,43,2010,76,2011,0.00,0.02,T,2008,
32,Average:,50.8,69.6,49.3,68.0,,,,,Total: 0.00,Total: 0.97,,,
