,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013,KOKB 05/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,56,71,51,69,38,2011,83,2011,0.00,0.02,0.02,2012,
3,2,53,80,52,69,45,2011,92,2004,0.00,0.02,0.03,2012,
4,3,43,85,52,69,43,2013,95,2004,0.00,0.02,0.24,2003,
5,4,54,69,52,69,44,2011,82,2004,0.00,0.02,T,2007,
6,5,59,70,52,69,46,2004,75,2004,0.11,0.02,0.11,2013,
7,6,58,67,52,69,47,2007,86,2007,0.43,0.01,0.43,2013,
8,7,59,71,52,69,47,2010,88,2007,0.02,0.02,0.08,2003,
9,8,57,71,53,69,47,2010,89,2007,T,0.02,0.01,2001,
10,9,53,71,53,69,47,2003,78,2007,0.00,0.01,T,2011,
11,10,57,71,53,69,44,2003,71,2013,0.00,0.02,0.00,2006,
12,11,55,76,53,70,44,2010,76,2013,0.00,0.01,T,2010,
13,12,57,76,53,70,40,2010,85,2002,0.00,0.01,T,2008,
14,13,54,87,53,70,43,2000,87,2013,0.01,0.01,0.01,2005,
15,14,53,75,54,70,46,2008,79,2004,0.00,0.00,0.01,2005,
16,15,61,71,54,70,47,2000,80,2004,0.00,0.01,0.07,2011,
17,16,62,72,54,70,44,2011,83,2008,0.00,0.00,T,2011,
18,17,62,72,54,70,46,1999,85,2008,0.00,0.01,0.32,2011,
19,18,56,73,54,70,49,2000,87,2008,0.00,0.00,T,2010,
20,19,55,73,54,70,50,2011,81,2008,0.00,0.01,0.01,2002,
21,20,54,75,54,70,50,2011,76,2005,0.00,0.00,0.04,2002,
22,21,63,74,55,70,45,2002,79,2005,0.00,0.00,0.01,2005,
23,22,63,71,55,70,42,2002,73,2005,0.00,0.00,0.57,2006,
24,23,57,71,55,70,47,2002,73,2006,0.00,0.01,0.18,2008,
25,24,53,69,55,70,46,2010,75,2006,0.00,0.00,T,2008,
26,25,55,73,55,70,43,2010,73,2013,0.00,0.00,0.04,2012,
27,26,53,71,55,70,50,2010,73,2005,0.00,0.00,T,2008,
28,27,54,73,56,70,47,2008,75,2000,T,0.00,0.02,2001,
29,28,62,75,56,70,47,2008,77,2000,0.00,0.01,0.01,2012,
30,29,59,75,56,70,44,2010,75,2013,0.00,0.00,0.03,2009,
31,30,57,73,56,70,45,2011,76,2004,0.00,0.00,T,1999,
32,31,59,73,56,71,46,2011,77,2006,0.00,0.00,0.03,2009,
33,Average:,56.5,73.4,53.8,69.7,,,,,Total: 0.57,Total: 0.26,,,
