,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014,KOKB 01/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,32,68,40,65,32,2014,79,2008,0.00,0.12,0.14,2006,
3,2,34,69,40,65,30,2013,78,2003,0.00,0.12,0.47,2006,
4,3,33,67,40,65,28,2013,83,2001,0.00,0.12,1.06,2005,
5,4,41,67,40,65,32,2013,81,2012,0.00,0.11,0.40,2005,
6,5,34,74,40,65,28,2013,85,2006,0.00,0.11,1.02,2008,
7,6,39,75,40,65,32,2000,88,2006,0.00,0.11,1.49,2008,
8,7,33,70,40,65,28,2000,83,2003,0.00,0.10,0.80,2005,
9,8,36,66,40,66,26,2000,78,2007,0.00,0.11,0.20,2005,
10,9,40,62,40,66,29,2000,83,2007,0.00,0.11,1.97,2005,
11,10,38,67,40,66,31,2000,79,2009,0.00,0.10,0.34,2005,
12,11,36,72,40,66,29,2013,79,2009,0.00,0.11,0.81,2005,
13,12,40,66,40,66,27,2013,89,2009,0.00,0.10,0.39,2001,
14,13,35,82,40,66,29,2013,83,2009,0.00,0.10,0.02,2003,
15,14,40,85,40,66,27,2013,85,2014,0.00,0.09,0.03,2006,
16,15,38,89,40,66,25,2013,89,2014,0.00,0.09,0.22,2012,
17,16,40,85,40,66,28,2007,85,2014,0.00,0.09,0.16,2012,
18,17,41,87,40,66,28,2007,87,2014,0.00,0.09,0.03,2010,
19,18,35,79,40,66,31,2007,85,2009,0.00,0.07,1.38,2010,
20,19,39,77,40,66,31,2012,87,2005,0.00,0.08,0.42,2010,
21,20,36,74,41,66,32,2008,79,2013,0.00,0.07,0.86,2010,
22,21,52,71,41,66,31,2006,74,2009,0.00,0.08,1.22,2010,
23,22,39,74,41,66,29,2007,80,2013,0.00,0.07,0.37,2010,
24,23,37,64,41,66,31,2007,79,2011,0.00,0.06,0.26,2012,
25,24,47,72,41,66,30,2002,77,2000,0.00,0.05,0.09,2013,
26,25,46,75,41,66,32,2002,81,2003,0.00,0.04,0.49,2013,
27,26,42,67,41,66,33,2007,84,2003,0.00,0.02,0.76,2001,
28,27,47,68,41,66,36,2011,82,2012,0.00,0.03,1.05,2008,
29,28,44,65,41,66,33,2009,76,2012,0.00,0.05,0.16,2002,
30,29,45,65,41,66,33,2013,82,2009,0.00,0.07,0.06,2002,
31,30,53,63,41,66,30,2002,78,2009,0.03,0.09,0.99,2007,
32,31,42,65,42,66,28,2002,87,2003,0.01,0.09,0.09,2000,
33,Average:,39.8,71.9,40.4,65.8,,,,,Total: 0.04,Total: 2.65,,,
