,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016,KOKB 03/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,50,67,45,65,37,2011,86,2013,0.00,0.14,0.39,2014,
3,2,46,67,45,65,37,2007,82,2009,0.00,0.15,0.35,2015,
4,3,50,67,45,65,32,2002,78,2007,0.00,0.15,0.16,2000,
5,4,53,68,45,65,33,2002,81,2007,0.00,0.14,0.24,2005,
6,5,49,70,45,65,36,2002,79,2007,0.03,0.14,0.72,2000,
7,6,54,66,45,65,34,2015,83,2015,0.50,0.13,0.64,2001,
8,7,45,61,45,65,36,2012,86,2004,0.45,0.14,0.45,2016,
9,8,39,65,46,65,31,2012,83,2004,0.00,0.12,0.19,2000,
10,9,43,69,46,65,36,2012,87,2014,0.00,0.11,0.15,2001,
11,10,46,69,46,65,35,2012,79,2008,0.00,0.09,0.27,2006,
12,11,54,68,46,65,38,2013,80,2007,0.18,0.10,0.33,2006,
13,12,45,63,46,65,40,2013,85,2007,0.00,0.06,0.01,2006,
14,13,46,64,46,65,37,2006,92,2015,T,0.05,0.02,2006,
15,14,57,68,46,65,32,2002,92,2015,0.03,0.04,0.03,2016,
16,15,48,69,46,65,37,2010,92,2015,0.00,0.04,1.05,2003,
17,16,47,75,46,65,38,2008,91,2015,0.00,0.04,0.46,2003,
18,17,47,73,46,65,36,2008,80,2010,0.00,0.04,0.70,2012,
19,18,54,68,46,65,38,2008,72,2015,0.00,0.04,0.11,2005,
20,19,52,66,46,65,36,2002,79,2001,0.00,0.04,0.29,2005,
21,20,54,66,46,65,37,2002,74,2001,0.00,0.04,1.01,2011,
22,21,49,67,47,65,38,2012,70,2015,0.00,0.04,0.20,2006,
23,22,48,67,47,66,38,2006,74,2008,0.00,0.03,0.28,2005,
24,23,43,72,47,66,36,2009,81,2008,0.00,0.03,0.24,2011,
25,24,40,76,47,66,34,2009,79,2008,0.00,0.04,0.02,2005,
26,25,38,72,47,66,38,2016,76,2015,0.00,0.04,T,2006,
27,26,51,68,47,66,41,2002,85,2015,0.00,0.04,0.17,2004,
28,27,47,68,47,66,39,2012,84,2015,0.00,0.04,0.04,2007,
29,28,55,65,47,66,37,2012,83,2004,0.02,0.04,0.47,2006,
30,29,48,64,47,66,40,2007,88,2004,T,0.04,0.12,2006,
31,30,41,65,47,66,41,2016,85,2003,0.00,0.03,0.00,2006,
32,31,38,66,47,66,38,2016,81,2005,0.00,0.04,0.15,2012,
33,Average:,47.6,67.7,46.1,65.3,,,,,Total: 1.21,Total: 2.21,,,
