,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018,KOKB 02/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,41,77,42,66,32,2002,77,2018,0.00,0.06,T,2007,
3,2,41,77,42,66,30,2002,83,2000,0.00,0.05,0.41,2004,
4,3,41,77,42,66,28,2011,79,2000,0.00,0.06,0.44,2008,
5,4,39,78,42,66,32,2002,85,2001,0.00,0.06,0.02,2008,
6,5,43,66,42,66,29,2002,85,2007,0.00,0.07,T,2000,
7,6,46,65,42,66,29,2002,79,2006,0.00,0.07,0.66,2017,
8,7,39,76,42,66,31,2002,78,2016,0.00,0.08,0.31,2017,
9,8,39,76,42,66,32,2001,87,2016,0.00,0.09,0.18,2013,
10,9,38,66,43,66,33,2013,84,2016,0.00,0.10,0.38,2009,
11,10,50,67,43,65,30,2002,84,2016,0.00,0.09,0.34,2000,
12,11,43,66,43,65,32,2002,87,2015,0.00,0.12,1.63,2005,
13,12,50,63,43,65,32,2013,87,2015,0.02,0.13,1.20,2003,
14,13,42,65,43,65,31,2013,84,2015,T,0.13,1.78,2001,
15,14,47,71,43,65,33,2013,84,2015,0.00,0.13,0.17,2012,
16,15,45,68,43,65,33,2008,87,2016,0.00,0.14,0.27,2012,
17,16,42,75,43,65,34,2008,89,2016,0.00,0.13,0.35,2011,
18,17,37,71,44,65,33,2013,89,2007,0.00,0.13,1.38,2017,
19,18,37,68,44,65,36,2012,72,2007,T,0.14,1.33,2005,
20,19,39,60,44,65,34,2009,79,2000,T,0.13,0.45,2011,
21,20,29,60,44,65,29,2018,77,2014,0.00,0.14,0.22,2008,
22,21,32,59,44,65,32,2018,83,2002,T,0.13,1.45,2005,
23,22,34,61,44,65,34,2018,91,2002,T,0.14,2.01,2008,
24,23,34,58,44,65,33,2013,77,2016,0.02,0.14,0.77,2005,
25,24,32,63,44,65,32,2018,80,2016,0.00,0.14,0.38,2008,
26,25,31,66,44,65,31,2018,79,2016,0.00,0.14,2.40,2003,
27,26,32,64,45,65,32,2018,79,2005,0.00,0.12,1.54,2011,
28,27,37,57,45,65,34,2013,81,2005,0.31,0.11,1.57,2017,
29,28,33,60,45,65,33,2018,80,2005,0.00,0.10,1.29,2014,
30,Average:,39.0,67.1,43.3,65.3,,,,,Total: 0.35,Total: 3.07,,,
