,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019,KOKB 08/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,66,79,62,77,57,2010,86,2018,0.00,0.00,T,2017,
3,2,62,78,62,77,59,2010,85,2017,0.00,0.00,0.03,2014,
4,3,60,78,62,77,56,2011,85,2017,0.00,0.00,0.01,2006,
5,4,60,79,62,77,55,2011,83,2018,0.00,0.00,0.03,2006,
6,5,65,77,62,77,55,2006,85,2015,0.00,0.00,0.01,2006,
7,6,65,79,62,77,51,2004,84,2018,0.00,0.01,0.00,2006,
8,7,60,76,62,77,56,2002,87,2018,0.00,0.00,0.00,2006,
9,8,59,77,62,77,54,2010,92,2018,0.00,0.00,0.01,2003,
10,9,58,78,62,77,53,2010,89,2018,0.00,0.00,0.00,2006,
11,10,59,78,62,77,56,2013,89,2018,0.00,0.00,0.00,2006,
12,11,60,76,62,77,57,2013,87,2018,0.00,0.01,0.00,2006,
13,12,60,76,62,77,56,2015,85,2018,0.00,0.00,0.00,2006,
14,13,59,77,62,77,59,2019,84,2012,0.00,0.01,T,2010,
15,14,60,77,62,77,59,2010,85,2015,0.00,0.01,0.00,2006,
16,15,62,77,62,77,58,2006,86,2015,0.00,0.00,0.02,2017,
17,16,64,76,62,77,58,2013,85,2015,0.00,0.01,0.00,2006,
18,17,64,77,62,77,56,2017,88,2012,0.00,0.01,0.00,2006,
19,18,60,77,62,77,59,2005,88,2012,0.00,0.00,0.00,2006,
20,19,62,79,62,77,56,2005,85,2012,0.00,0.01,0.00,2006,
21,20,59,80,62,77,56,2005,84,2012,0.00,0.01,0.11,2014,
22,21,54,80,62,77,54,2019,83,2007,0.00,0.00,T,2009,
23,22,63,76,62,77,56,2002,82,2018,0.00,0.01,T,2009,
24,23,62,77,62,77,55,2001,85,2010,0.00,0.01,0.00,2006,
25,24,57,79,62,77,55,2004,85,2010,0.00,0.00,0.00,2006,
26,25,61,87,62,77,52,2002,87,2019,0.00,0.01,T,2015,
27,26,64,85,62,77,50,2009,86,2015,0.00,0.01,0.44,2007,
28,27,63,81,62,77,52,2009,92,2009,0.00,0.00,0.00,2006,
29,28,63,79,61,77,54,2009,91,2015,0.00,0.01,T,2012,
30,29,63,81,61,77,58,2014,88,2009,0.00,0.01,0.00,2006,
31,30,65,83,61,77,56,2010,93,2013,0.00,0.00,0.00,2006,
32,31,68,82,61,77,51,2010,88,2017,0.00,0.01,0.00,2006,
33,Average:,61.5,78.7,61.9,77.0,,,,,Total: 0.00,Total: 0.15,,,
