,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020,KOKB 10/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,54,99,56,75,46,2009,99,2020,0.00,0.00,0.01,2010,
3,2,52,94,56,75,45,2002,94,2020,0.00,0.00,T,2010,
4,3,52,85,56,75,45,2002,94,2014,0.00,0.01,T,2018,
5,4,50,88,56,75,42,2002,91,2014,0.00,0.01,0.09,2015,
6,5,51,85,55,75,42,2013,94,2005,0.00,0.01,0.61,2015,
7,6,51,80,55,75,44,2019,90,2013,0.00,0.01,0.07,2010,
8,7,60,76,55,75,42,2007,93,2008,0.00,0.02,0.02,2002,
9,8,59,76,54,74,44,2011,95,2008,0.00,0.02,0.00,2006,
10,9,54,76,54,74,42,2007,93,2015,0.00,0.02,0.17,2013,
11,10,58,76,54,74,45,2017,99,2015,0.00,0.01,0.01,2003,
12,11,53,76,54,74,45,2013,93,2019,0.00,0.02,0.85,2012,
13,12,53,84,53,74,41,2008,93,2015,0.00,0.02,0.37,2018,
14,13,53,91,53,74,37,2008,92,2011,0.00,0.02,0.39,2006,
15,14,51,87,53,74,41,2008,88,2005,0.00,0.03,0.33,2006,
16,15,55,90,53,74,44,2008,94,2017,0.00,0.03,0.01,2001,
17,16,52,84,52,74,39,2018,90,2017,0.00,0.02,0.37,2005,
18,17,53,79,52,74,42,2018,93,2012,0.00,0.03,0.26,2005,
19,18,50,77,52,74,43,2013,82,2018,0.00,0.03,0.85,2004,
20,19,61,77,51,73,42,2013,87,2018,0.00,0.03,2.77,2010,
21,20,62,75,51,73,41,2013,91,2016,0.00,0.02,1.62,2004,
22,21,64,74,51,73,44,2006,93,2019,0.00,0.03,0.20,2010,
23,22,65,75,50,73,43,2007,95,2008,0.00,0.03,0.01,2006,
24,23,57,75,50,73,44,1999,93,2017,0.00,0.03,0.01,2003,
25,24,63,75,50,73,43,2008,106,2017,0.00,0.03,0.29,2016,
26,25,60,71,50,73,42,2008,99,2017,0.04,0.03,0.28,2010,
27,26,39,76,49,73,39,2020,93,2003,0.00,0.03,0.13,2004,
28,27,41,77,49,73,41,2020,88,2003,0.00,0.03,2.08,2004,
29,28,41,76,49,73,37,2011,84,2010,0.00,0.03,0.22,2004,
30,29,40,78,48,73,34,2009,83,2008,0.00,0.03,0.83,2000,
31,30,41,77,48,72,38,2011,89,1999,0.00,0.04,0.20,2010,
32,31,42,76,48,72,35,2019,86,2008,0.00,0.03,0.01,2005,
33,Average:,52.8,80.2,52.2,73.7,,,,,Total: 0.04,Total: 0.70,,,
