,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014,KRNM 10/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,49,84,51,83,41,2013,105,1980,0.00,0.00,0.69,1992,
3,2,52,96,51,82,42,1982,100,2012,0.00,0.00,0.01,1983,
4,3,53,98,50,82,41,2009,99,1999,0.00,0.01,0.01,2005,
5,4,49,98,50,82,37,2005,100,1987,0.00,0.00,0.04,2008,
6,5,50,95,50,82,39,1974,99,1987,0.00,0.02,0.42,2011,
7,6,51,94,50,81,35,1974,97,1996,0.00,0.02,0.32,1983,
8,7,58,93,50,81,38,2011,101,1996,T,0.02,0.07,1975,
9,8,53,87,49,81,35,1975,99,2008,0.00,0.02,0.03,1985,
10,9,52,82,49,81,35,1975,99,1996,0.00,0.02,1.07,2013,
11,10,46,83,49,80,32,1974,96,1999,0.00,0.02,0.17,1985,
12,11,48,85,49,80,36,1974,96,1977,0.00,0.03,0.76,1987,
13,12,47,82,49,80,34,2008,101,2011,0.00,0.02,0.50,1987,
14,13,45,85,48,80,36,1975,103,1978,0.00,0.02,0.68,1987,
15,14,44,82,48,80,36,1981,96,1978,0.00,0.03,0.04,2006,
16,15,53,75,48,79,40,2000,102,1974,0.00,0.03,0.08,1980,
17,16,56,77,48,79,38,1981,96,1997,0.00,0.02,0.46,2005,
18,17,56,77,48,79,38,1994,98,2012,T,0.03,0.38,2005,
19,18,53,75,47,79,37,2006,99,2003,0.00,0.03,0.70,2004,
20,19,49,78,47,79,39,1994,95,2003,0.00,0.02,2.11,2010,
21,20,50,78,47,78,37,2013,98,2003,0.00,0.03,1.50,2004,
22,21,48,82,47,78,37,2013,100,2003,0.00,0.03,0.18,2004,
23,22,43,88,46,78,36,2013,98,2003,0.00,0.03,0.09,1997,
24,23,46,90,46,78,33,1996,97,2003,0.00,0.02,0.38,1992,
25,24,49,92,46,78,36,1996,96,2007,0.00,0.03,0.08,1980,
26,25,51,83,46,77,33,1975,95,2003,0.00,0.03,0.09,1989,
27,26,55,73,46,77,37,1975,91,2013,0.00,0.03,0.26,1982,
28,27,47,76,45,77,34,1996,94,2008,0.00,0.03,1.84,2004,
29,28,44,80,45,77,32,2011,97,2008,0.00,0.03,0.77,1974,
30,29,43,86,45,77,31,2009,93,2008,0.00,0.04,0.76,1974,
31,30,40,83,45,76,31,1976,90,1999,0.00,0.03,0.90,1996,
32,31,59,70,44,76,32,1979,91,1999,T,0.03,0.50,1987,
33,Average:,49.6,84.1,47.7,79.3,,,,,Total: 0.00,Total: 0.72,,,
