,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018,KRNM 04/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,42,72,40,68,29,1977,86,2011,0.00,0.04,1.09,1998,
3,2,51,62,40,68,30,2012,91,1985,0.00,0.04,0.60,1974,
4,3,44,71,40,68,28,1997,84,2015,0.00,0.04,0.28,1977,
5,4,41,72,40,68,32,2003,93,1989,0.00,0.04,0.76,2006,
6,5,47,74,40,68,32,2009,95,1989,0.00,0.04,0.45,2006,
7,6,47,72,40,68,30,2003,98,1989,0.00,0.03,0.51,1975,
8,7,46,76,40,69,33,2006,97,1989,0.00,0.04,0.55,2001,
9,8,49,79,41,69,34,2012,97,1989,0.00,0.05,1.26,1975,
10,9,41,97,41,69,32,2011,97,2018,0.00,0.05,0.73,1975,
11,10,47,93,41,69,27,1999,93,2018,0.00,0.04,0.60,2016,
12,11,47,83,41,69,30,1974,87,1988,0.00,0.05,0.38,1998,
13,12,43,67,41,69,33,1974,87,2008,0.00,0.05,1.08,1998,
14,13,35,84,41,70,31,2007,95,2002,0.00,0.04,1.20,1976,
15,14,44,87,41,70,31,1983,91,1985,0.00,0.06,1.18,2003,
16,15,37,83,42,70,31,2012,88,1987,0.00,0.05,0.70,1988,
17,16,42,68,42,70,33,2009,88,2011,0.00,0.06,0.79,1995,
18,17,38,68,42,70,30,1976,88,1999,0.00,0.05,0.54,2004,
19,18,33,74,42,71,31,2013,88,1999,0.00,0.05,1.37,1995,
20,19,40,61,42,71,31,2007,91,2009,0.02,0.05,0.38,1995,
21,20,37,75,42,71,34,2005,96,2009,0.00,0.06,1.35,1988,
22,21,39,87,43,71,33,2002,94,2009,0.00,0.05,0.70,2001,
23,22,43,87,43,71,33,2001,91,2017,0.00,0.06,0.56,2010,
24,23,41,86,43,71,31,2010,89,1996,0.00,0.05,0.42,1980,
25,24,40,82,43,72,35,1980,89,1996,0.00,0.05,0.43,1994,
26,25,38,80,43,72,34,1974,93,2004,0.00,0.05,0.28,2015,
27,26,45,77,44,72,32,1974,96,2004,0.00,0.05,0.78,1994,
28,27,44,75,44,72,34,1974,97,2004,0.00,0.05,0.48,1994,
29,28,38,74,44,72,34,2002,95,2008,0.00,0.04,1.16,2005,
30,29,51,70,44,73,36,1974,93,2015,0.00,0.04,0.44,1983,
31,30,51,65,45,73,36,2009,93,1996,0.04,0.03,0.07,1980,
32,Average:,42.7,76.7,41.8,70.1,,,,,Total: 0.06,Total: 1.40,,,
