,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021,KRNM 12/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,37,86,37,67,21,2004,86,2021,0.00,0.05,0.37,1983,
3,2,37,75,36,67,24,2004,81,1977,0.00,0.05,0.62,2014,
4,3,34,68,36,67,28,2016,84,1981,0.00,0.05,0.69,1985,
5,4,39,68,36,67,23,2011,94,1979,0.00,0.06,1.77,1974,
6,5,38,72,36,66,20,2011,90,1979,0.00,0.05,0.85,1987,
7,6,34,77,36,66,24,2006,87,1979,0.00,0.05,0.61,2018,
8,7,42,57,36,66,22,1978,85,1981,0.04,0.05,2.07,2009,
9,8,39,67,36,66,23,2011,87,1975,0.00,0.07,0.75,1997,
10,9,46,56,36,66,23,2013,85,1975,0.21,0.06,0.22,1996,
11,10,34,57,36,66,27,2011,81,2004,0.01,0.07,0.73,1996,
12,11,31,67,35,65,24,2011,82,2017,0.00,0.06,0.98,1984,
13,12,27,65,35,65,27,1998,86,2010,0.00,0.07,0.81,2014,
14,13,32,56,35,65,25,2013,82,2010,0.03,0.06,1.03,2012,
15,14,40,55,35,65,27,2007,81,2004,1.49,0.06,1.49,2021,
16,15,30,55,35,65,26,2020,82,1980,0.00,0.07,1.68,2008,
17,16,26,58,35,65,26,2021,86,2013,0.04,0.06,1.57,2016,
18,17,35,66,35,65,24,2015,82,2013,0.01,0.07,2.24,2008,
19,18,26,68,35,65,26,2001,80,2003,0.00,0.07,1.06,1978,
20,19,26,67,35,65,23,2006,82,2005,0.00,0.06,0.75,1978,
21,20,22,72,35,65,22,2021,83,2005,0.00,0.07,1.96,2010,
22,21,41,67,35,65,24,2012,84,2005,0.00,0.06,1.84,2010,
23,22,38,70,35,65,23,1998,78,1980,T,0.07,3.40,2010,
24,23,48,65,35,65,22,1998,79,1989,0.75,0.08,1.56,1982,
25,24,45,56,36,65,21,1998,85,2005,0.81,0.07,0.97,2016,
26,25,46,53,36,65,22,1998,83,1980,0.13,0.08,1.33,1983,
27,26,33,54,36,65,24,1987,82,1985,0.30,0.09,1.60,2019,
28,27,34,53,36,65,24,2003,82,1980,0.40,0.08,1.16,1984,
29,28,42,49,36,65,24,2014,88,2017,0.34,0.09,1.58,2004,
30,29,41,53,36,66,25,2018,86,2017,0.06,0.08,1.10,2004,
31,30,46,63,36,66,25,2020,83,1980,T,0.09,0.52,1991,
32,31,45,59,36,66,24,2006,82,2011,T,0.08,0.89,1976,
33,Average:,36.6,63.0,35.6,65.5,,,,,Total: 4.62,Total: 2.08,,,
