,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021,KRNM 02/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,51,67,36,65,26,1985,85,1995,T,0.07,1.35,1996,
3,2,44,73,36,65,23,2002,86,1995,T,0.06,1.41,2019,
4,3,37,69,36,65,23,2002,86,1995,0.00,0.07,1.07,1998,
5,4,36,64,36,65,23,2011,84,2018,0.00,0.07,1.03,1998,
6,5,31,68,36,65,19,2020,86,2007,0.00,0.08,1.11,1976,
7,6,31,76,36,65,25,2002,80,2015,0.00,0.07,0.92,1998,
8,7,32,73,36,65,22,1974,85,1996,0.00,0.09,1.36,1992,
9,8,30,66,36,65,27,2002,84,1996,0.00,0.10,2.07,1993,
10,9,42,59,37,65,28,2001,85,2016,0.00,0.11,2.17,1976,
11,10,36,60,37,65,27,2009,85,2016,0.00,0.11,1.01,1982,
12,11,31,71,37,65,22,2011,83,2016,0.00,0.11,1.10,1982,
13,12,36,58,37,65,23,2013,83,2016,0.09,0.12,1.28,2005,
14,13,33,58,37,65,25,2013,89,1981,0.00,0.13,1.53,2001,
15,14,35,62,37,65,24,1974,87,1977,0.00,0.12,3.55,2019,
16,15,33,60,37,65,22,1990,86,2016,0.00,0.13,1.40,1998,
17,16,41,61,37,65,25,1990,88,2016,0.07,0.13,1.10,2009,
18,17,35,64,37,65,28,2012,86,1981,0.00,0.13,1.71,1980,
19,18,33,64,38,65,27,2012,88,1981,0.00,0.12,1.51,1980,
20,19,27,71,38,65,27,M,88,1995,0.00,0.13,1.70,1993,
21,20,28,64,38,65,23,2018,85,1995,0.00,0.13,1.39,1993,
22,21,29,70,38,65,24,2018,83,1982,0.00,0.13,4.07,1980,
23,22,36,78,38,65,22,2006,88,2002,0.00,0.14,0.93,2008,
24,23,32,78,38,65,23,2006,83,1990,0.00,0.13,0.86,2005,
25,24,29,75,38,65,23,2018,88,1986,0.00,0.14,1.61,1998,
26,25,29,72,38,65,23,2018,84,1986,0.00,0.14,1.75,2003,
27,26,26,74,38,65,23,2013,86,1980,0.00,0.13,1.79,2011,
28,27,25,67,39,65,25,2021,85,1980,0.00,0.11,5.05,2017,
29,28,33,67,39,65,27,2018,83,2009,0.00,0.11,2.64,1991,
30,Average:,33.6,67.5,37.2,65.0,,,,,Total: 0.16,Total: 3.11,,,
