,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021,KRNM 07/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,53,95,55,87,45,1975,105,1985,0.00,0.00,0.02,2006,
3,2,52,92,55,88,44,2010,98,2007,0.00,0.00,0.01,2006,
4,3,58,91,55,88,42,1974,103,1985,0.00,0.00,0.01,2006,
5,4,54,89,55,88,42,1974,105,1989,0.00,0.01,0.01,2006,
6,5,52,91,56,88,46,1977,100,2018,0.00,0.00,T,2011,
7,6,49,90,56,88,45,2000,117,2018,0.00,0.00,T,2001,
8,7,54,89,56,88,41,1974,108,2018,0.00,0.00,0.00,2020,
9,8,59,94,56,88,45,1977,102,2017,0.00,0.00,0.01,2007,
10,9,63,92,57,89,44,2009,98,1995,0.00,0.01,T,2018,
11,10,63,94,57,89,44,1977,99,2012,0.00,0.00,0.01,2011,
12,11,60,90,57,89,45,1977,102,2020,0.00,0.00,T,2013,
13,12,58,88,57,89,47,1974,100,2020,0.00,0.01,0.03,1976,
14,13,61,90,57,89,44,1995,103,1983,0.00,0.00,0.05,1990,
15,14,61,91,58,89,48,1980,102,1978,0.00,0.00,0.03,1984,
16,15,59,91,58,89,48,1993,105,2006,0.00,0.00,0.10,1974,
17,16,56,90,58,89,48,1993,102,1998,0.00,0.01,0.08,1995,
18,17,56,91,58,89,44,1983,105,1998,0.00,0.00,0.02,1987,
19,18,64,94,58,89,43,1983,102,2009,T,0.00,1.25,2015,
20,19,58,94,58,89,41,1983,103,1982,0.00,0.01,1.13,2015,
21,20,58,93,58,89,46,1980,102,1982,0.00,0.00,1.41,1979,
22,21,63,95,59,89,47,2011,101,2016,0.00,0.01,0.31,1986,
23,22,62,90,59,89,44,2001,111,2006,0.00,0.00,0.05,1986,
24,23,58,89,59,89,48,1995,102,2018,0.00,0.00,0.41,2005,
25,24,58,86,59,90,46,2008,103,2018,T,0.01,0.01,2017,
26,25,61,84,59,90,43,1999,101,2018,T,0.00,0.15,2014,
27,26,63,73,59,90,41,1987,102,1977,0.10,0.01,0.10,2021,
28,27,62,91,59,90,46,1983,106,1995,0.00,0.00,0.08,1984,
29,28,58,93,59,90,48,2012,102,1980,0.00,0.01,0.32,1984,
30,29,58,93,59,90,46,2012,104,1980,0.00,0.00,0.01,2006,
31,30,58,93,59,90,46,1983,104,1980,0.00,0.01,0.04,2006,
32,31,60,94,59,90,45,1998,102,2020,0.00,0.00,0.57,1991,
33,Average:,58.4,90.6,57.5,89.0,,,,,Total: 0.10,Total: 0.10,,,
