,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021,KRNM 05/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,41,84,46,74,33,2011,92,2015,0.00,0.02,0.26,1978,
3,2,53,63,47,74,35,2011,98,2004,0.00,0.02,0.20,1980,
4,3,48,80,47,74,37,2002,100,2004,0.00,0.02,0.88,2003,
5,4,42,86,47,74,38,2002,94,2004,0.00,0.02,0.11,1982,
6,5,45,90,47,74,35,1999,94,2018,0.00,0.02,0.41,1998,
7,6,47,77,48,74,33,1975,96,1990,0.00,0.02,0.58,1998,
8,7,50,76,48,74,32,1975,92,2020,0.00,0.02,0.91,2017,
9,8,49,75,48,74,36,1975,93,1984,0.00,0.01,0.66,2015,
10,9,47,77,48,75,36,1983,95,1984,0.00,0.02,1.77,1977,
11,10,49,72,48,75,33,2003,91,1981,0.00,0.02,0.25,1980,
12,11,43,79,49,75,35,2005,95,1996,0.00,0.02,0.23,1980,
13,12,46,80,49,75,35,2010,98,2013,0.00,0.01,0.08,1998,
14,13,50,79,49,75,36,1983,100,2013,0.00,0.02,1.16,1998,
15,14,52,79,49,75,40,2000,97,1979,0.00,0.01,0.18,2015,
16,15,55,72,49,75,40,2012,100,2014,0.00,0.02,0.45,2015,
17,16,53,60,49,75,35,2011,97,2008,T,0.01,0.10,2019,
18,17,52,64,49,75,39,1981,97,2008,0.02,0.02,0.10,2011,
19,18,50,75,50,76,35,1977,97,2008,0.00,0.01,0.26,2011,
20,19,49,79,50,76,37,1977,95,2008,0.00,0.01,0.27,2019,
21,20,51,71,50,76,30,1974,94,2017,0.00,0.01,0.17,2019,
22,21,42,67,50,76,29,1974,92,2005,0.00,0.01,0.02,1975,
23,22,39,68,50,76,36,2002,91,2005,0.00,0.01,0.37,2006,
24,23,34,77,50,76,34,2021,94,2001,0.00,0.01,0.36,2008,
25,24,42,91,50,77,37,2010,91,2021,0.00,0.01,0.42,1996,
26,25,46,87,50,77,36,1984,101,1974,0.00,0.01,0.06,2000,
27,26,49,82,50,77,36,1980,98,1974,0.00,0.00,0.16,2019,
28,27,47,78,50,77,35,1984,92,2020,0.00,0.01,0.40,1981,
29,28,43,80,50,77,41,2019,99,1978,0.00,0.00,0.47,1990,
30,29,49,76,50,78,41,2010,102,1984,0.00,0.01,0.18,1988,
31,30,49,78,50,78,35,2011,107,1984,0.00,0.01,0.01,2009,
32,31,49,82,50,78,40,2011,93,1984,0.00,0.00,0.00,2018,
33,Average:,47.1,76.9,48.9,75.5,,,,,Total: 0.02,Total: 0.41,,,
