,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013,KSDM 07/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,62,83,59,76,54,2011,90,2006,0.00,0.00,0.00,1960,
3,2,63,78,59,77,56,2010,88,2006,0.00,0.01,0.00,1960,
4,3,60,83,59,77,56,2010,88,2006,0.00,0.00,T,2001,
5,4,62,81,59,77,57,2010,97,1957,0.00,0.01,0.02,2001,
6,5,63,77,59,77,50,1945,85,1957,T,0.00,T,2001,
7,6,63,76,59,77,56,1960,84,2011,0.00,0.00,0.00,1960,
8,7,63,78,59,77,50,1945,87,2011,0.00,0.01,0.00,1960,
9,8,63,82,60,77,54,1955,85,1959,0.00,0.00,0.00,1960,
10,9,63,81,60,77,54,1960,85,1958,T,0.00,T,2013,
11,10,65,78,60,78,55,1960,91,1959,T,0.01,T,2013,
12,11,64,81,60,78,59,1958,90,2003,0.02,0.00,0.02,2013,
13,12,63,77,60,78,58,1960,89,2009,0.00,0.00,0.00,-99,
14,13,63,79,60,78,59,2010,89,2006,0.00,0.01,0.00,1960,
15,14,63,80,60,78,58,1957,91,2006,T,0.00,T,2007,
16,15,60,80,60,78,58,1960,91,2006,0.00,0.00,T,2010,
17,16,60,79,60,78,60,2013,93,2010,0.00,0.01,0.02,2006,
18,17,57,81,61,78,57,2013,89,2006,0.00,0.00,T,2006,
19,18,61,76,61,78,58,1958,86,2009,0.00,0.00,0.04,1955,
20,19,60,73,61,78,59,1958,84,2009,0.00,0.00,0.00,1960,
21,20,61,75,61,78,58,1958,87,2009,0.00,0.01,0.00,1960,
22,21,60,76,61,78,58,2008,90,1960,T,0.00,T,2010,
23,22,61,80,61,78,57,2010,110,2006,0.00,0.00,0.00,-99,
24,23,63,77,61,78,56,2010,91,2006,0.00,0.00,0.00,1960,
25,24,62,77,61,78,58,2011,95,2006,0.00,0.00,0.02,1956,
26,25,63,75,61,78,60,1958,86,2006,0.00,0.01,0.00,1960,
27,26,63,76,61,79,60,2011,89,1998,0.00,0.00,0.00,1960,
28,27,61,75,61,79,59,2010,89,2006,0.00,0.00,0.00,1960,
29,28,58,74,61,79,58,2013,86,1998,0.00,0.00,0.00,1960,
30,29,60,75,62,79,60,2013,81,1960,0.00,0.01,0.03,2006,
31,30,59,75,62,79,59,2013,88,1957,0.00,0.00,0.02,2006,
32,31,59,74,62,79,58,2010,89,1957,0.00,0.00,0.10,2006,
33,Average:,61.5,77.8,60.4,77.9,,,,,Total: 0.02,Total: 0.09,,,
