,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013,KSDM 05/2013
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,57,71,52,71,44,2011,83,2011,0.00,0.03,0.62,1955,
3,2,54,89,52,71,47,2011,89,2013,0.00,0.02,0.38,1955,
4,3,53,91,53,71,44,1955,94,2011,0.00,0.02,0.07,1960,
5,4,51,75,53,71,49,2010,82,2011,0.00,0.02,0.11,1960,
6,5,55,69,53,71,45,1960,79,2001,0.02,0.02,T,2007,
7,6,57,67,53,71,48,2007,82,2007,0.17,0.01,0.17,2013,
8,7,53,70,53,71,50,2010,88,2007,0.02,0.01,0.32,1955,
9,8,49,71,53,71,49,2013,91,2007,0.00,0.01,0.02,1955,
10,9,54,69,53,71,51,2011,83,2007,M,0.01,0.32,1956,
11,10,58,71,54,72,47,1959,80,1960,0.00,0.00,0.24,1957,
12,11,58,79,54,72,48,2010,84,1960,0.00,0.01,0.83,1957,
13,12,58,90,54,72,44,2010,90,2013,0.01,0.00,0.01,1957,
14,13,64,96,54,72,48,1956,96,2013,0.00,0.01,0.00,1960,
15,14,54,75,54,72,49,2008,87,1956,0.00,0.00,0.03,1957,
16,15,56,71,54,72,46,1955,96,1956,0.00,0.01,0.06,1960,
17,16,58,71,54,72,45,1955,95,2008,0.00,0.00,0.00,1960,
18,17,59,71,54,72,49,1955,92,1956,0.00,0.00,0.01,2011,
19,18,54,73,54,72,50,1955,89,2008,0.00,0.01,0.13,2011,
20,19,58,74,54,72,48,2011,90,2008,0.00,0.00,0.30,1957,
21,20,56,76,55,72,48,1945,82,1960,0.00,0.00,0.00,1960,
22,21,58,76,55,72,50,1957,80,2003,0.00,0.00,0.21,1957,
23,22,58,74,55,72,48,1960,85,1958,0.00,0.00,T,2011,
24,23,54,69,55,72,48,1960,80,2001,0.00,0.01,T,2007,
25,24,55,69,55,72,46,2010,82,2006,0.00,0.00,0.04,1955,
26,25,55,70,55,72,47,2010,78,2006,0.00,0.00,0.09,1955,
27,26,53,70,55,72,50,2011,76,1960,0.00,0.00,T,2008,
28,27,53,72,55,72,51,2011,79,1960,0.00,0.00,0.03,1956,
29,28,57,72,55,72,49,2008,84,2003,0.00,0.00,0.00,2006,
30,29,59,75,55,72,49,2011,78,2006,0.00,0.01,0.14,2011,
31,30,59,79,55,72,43,2011,79,2013,0.00,0.00,0.03,1955,
32,31,58,74,55,72,48,2011,81,2006,0.00,0.00,0.03,1955,
33,Average:,56.0,74.8,54.0,71.7,,,,,Total: 0.22,Total: 0.21,,,
