,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016,KSDM 04/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,48,68,47,67,42,1956,86,1959,0.00,0.03,0.82,1999,
3,2,48,73,47,68,40,1956,85,1960,0.00,0.03,0.13,2014,
4,3,49,75,47,68,39,1955,89,2015,0.00,0.03,1.04,1958,
5,4,48,75,48,68,37,1945,81,1960,0.00,0.03,0.36,2006,
6,5,47,78,48,68,39,1958,86,2005,0.00,0.03,0.31,2006,
7,6,51,81,48,68,41,1958,87,2005,0.00,0.03,0.29,1958,
8,7,56,65,48,68,45,1955,84,2014,0.27,0.03,0.80,1958,
9,8,54,66,48,68,44,1958,87,2014,0.14,0.04,0.22,2011,
10,9,51,69,48,68,38,2011,88,2014,0.06,0.03,0.19,2001,
11,10,55,69,48,68,38,2011,83,2014,0.55,0.04,0.55,2016,
12,11,54,70,49,68,39,1945,88,1946,0.00,0.04,0.02,1960,
13,12,54,69,49,68,43,2011,94,2008,0.00,0.03,0.68,2010,
14,13,56,69,49,69,42,2007,96,2008,0.00,0.04,0.64,1956,
15,14,52,70,49,69,40,1945,85,1958,0.00,0.04,1.31,2003,
16,15,48,68,49,69,39,1945,89,1961,0.00,0.04,0.15,2003,
17,16,47,80,50,69,43,2009,91,1999,0.00,0.03,0.00,1961,
18,17,50,88,50,69,43,2013,88,2016,0.00,0.03,0.49,2000,
19,18,52,89,50,69,43,2013,89,2016,0.00,0.04,0.13,1957,
20,19,57,86,50,69,41,1955,97,2009,0.00,0.03,0.02,1957,
21,20,53,85,50,69,40,1955,97,2009,0.00,0.03,0.67,1957,
22,21,49,76,51,70,44,2007,85,2009,0.00,0.04,0.78,2001,
23,22,52,71,51,70,42,2008,72,1959,0.00,0.03,0.28,2010,
24,23,55,69,51,70,40,2010,79,2001,0.01,0.03,0.13,1960,
25,24,50,73,51,70,44,1960,88,2001,0.00,0.03,0.22,2002,
26,25,51,63,51,70,40,1961,86,2008,T,0.03,0.12,1959,
27,26,49,67,51,70,45,2009,87,2008,0.00,0.03,0.20,2014,
28,27,48,67,52,70,40,1955,97,2008,0.01,0.02,0.76,1960,
29,28,52,64,52,71,42,1955,94,2008,T,0.03,0.06,2010,
30,29,48,67,52,71,45,1960,92,2014,0.00,0.01,T,2010,
31,30,52,66,52,71,46,2011,94,2014,T,0.02,0.64,1955,
32,Average:,51.2,72.5,49.5,69.0,,,,,Total: 1.04,Total: 0.94,,,
