,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016,KSDM 08/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,68,84,62,79,55,2010,91,2000,0.00,0.00,0.01,2006,
3,2,69,85,62,79,58,2010,87,1959,0.00,0.01,0.02,2014,
4,3,67,82,62,79,56,1956,87,2009,0.00,0.00,0.03,1955,
5,4,68,81,62,79,53,1956,86,2009,0.00,0.00,0.00,2006,
6,5,70,81,62,79,55,1956,89,2015,0.00,0.01,0.00,2006,
7,6,68,80,62,79,57,1957,86,1955,0.00,0.00,0.00,2006,
8,7,67,81,62,79,56,2010,84,2008,0.00,0.00,0.00,2006,
9,8,67,79,62,79,56,2010,84,1959,0.00,0.00,0.00,2006,
10,9,64,78,62,79,53,2010,95,1999,0.00,0.00,0.00,2006,
11,10,64,81,62,80,57,2013,90,1998,0.00,0.00,0.00,2006,
12,11,69,80,62,80,54,2013,90,1998,0.00,0.01,0.00,2006,
13,12,68,82,62,80,57,2010,89,1998,0.00,0.00,0.00,2006,
14,13,68,84,62,80,58,2011,95,1998,0.00,0.00,0.00,2006,
15,14,67,86,62,80,59,2010,88,2015,0.00,0.00,0.22,1958,
16,15,67,95,62,80,57,2011,95,2016,0.00,0.00,0.00,2006,
17,16,67,90,62,80,56,2009,93,2015,0.00,0.00,0.00,2006,
18,17,65,91,62,80,60,2011,91,2016,0.00,0.00,0.00,2006,
19,18,68,84,62,80,60,2013,91,2010,0.00,0.00,0.00,2006,
20,19,66,84,62,80,60,2011,88,2010,0.00,0.00,0.00,2006,
21,20,66,79,62,80,58,2011,87,2007,0.00,0.00,0.00,2006,
22,21,63,81,62,80,57,1959,88,1998,0.00,0.00,0.00,2006,
23,22,60,81,62,80,59,2011,89,2009,0.00,0.00,T,2009,
24,23,58,78,62,81,57,2014,89,2006,0.00,0.00,0.00,2006,
25,24,64,81,62,81,60,1960,88,2010,0.00,0.01,0.03,1955,
26,25,61,77,62,81,59,1960,88,2009,0.00,0.01,0.02,1959,
27,26,63,75,62,81,59,1960,92,2009,0.00,0.01,T,2007,
28,27,64,76,62,81,58,2006,102,2009,0.00,0.01,0.00,2006,
29,28,62,77,62,81,54,2010,98,2009,0.00,0.01,0.00,2006,
30,29,65,81,62,81,57,2010,98,2009,0.00,0.00,0.00,2006,
31,30,66,82,62,81,55,2010,96,1998,0.00,0.01,T,2008,
32,31,63,83,62,81,52,2010,99,1955,0.00,0.01,0.00,2006,
33,Average:,65.5,81.9,62.0,80.0,,,,,Total: 0.00,Total: 0.10,,,
