,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017,KSDM 06/2017
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,59,71,55,72,47,1955,78,2006,0.00,0.00,0.00,1960,
3,2,61,74,56,72,46,2011,83,2006,0.00,0.01,0.00,1960,
4,3,60,71,56,72,44,2011,90,1957,0.00,0.00,0.00,1960,
5,4,59,70,56,72,47,2011,86,1957,0.00,0.01,T,2008,
6,5,60,73,56,72,48,2011,78,2010,0.00,0.00,0.50,1945,
7,6,61,65,56,73,54,2011,84,2008,0.00,0.00,0.04,2011,
8,7,60,69,56,73,52,2011,76,2008,0.00,0.01,T,2009,
9,8,58,72,56,73,50,2007,81,2015,0.00,0.01,0.00,1960,
10,9,61,73,56,73,53,2008,86,2015,0.00,0.00,0.03,1957,
11,10,58,68,56,73,52,2007,75,2015,0.00,0.01,0.52,1957,
12,11,57,70,56,73,53,2013,79,1956,T,0.00,T,2017,
13,12,51,72,57,73,51,2017,86,1956,0.00,0.01,0.00,1960,
14,13,50,76,57,73,50,2017,83,1956,0.00,0.00,0.00,1960,
15,14,54,77,57,74,54,2017,85,2006,0.00,0.01,T,2009,
16,15,54,80,57,74,54,2017,81,2006,0.00,0.00,T,2009,
17,16,56,86,57,74,53,2010,86,2017,0.00,0.01,T,2009,
18,17,60,82,57,74,54,2016,93,1957,0.00,0.00,0.00,1960,
19,18,60,78,57,74,52,1955,96,1957,0.00,0.01,0.00,1960,
20,19,61,84,57,74,54,2014,95,2016,0.00,0.00,0.00,1960,
21,20,60,83,57,75,52,2007,96,2008,0.00,0.01,0.00,1960,
22,21,61,78,58,75,53,2010,97,2008,0.00,0.00,0.00,1960,
23,22,60,75,58,75,53,2010,93,2008,0.00,0.01,T,2011,
24,23,62,76,58,75,55,2007,86,2001,0.00,0.00,0.00,1960,
25,24,61,75,58,75,52,1955,79,2015,0.00,0.01,0.00,1960,
26,25,61,83,58,75,57,2010,93,2006,0.00,0.01,0.00,1960,
27,26,61,88,58,76,53,1956,95,2006,0.00,0.00,0.00,1960,
28,27,58,84,58,76,55,1958,102,2006,0.00,0.01,0.08,2006,
29,28,59,74,58,76,52,1960,88,2006,0.00,0.00,0.00,1960,
30,29,60,74,59,76,56,1959,88,2006,0.00,0.01,T,2009,
31,30,62,74,59,76,56,1955,91,2013,0.00,0.00,T,2015,
32,Average:,58.8,75.8,57.0,73.9,,,,,Total: 0.00,Total: 0.15,,,
