,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014,KMYF 04/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,54,62,49,68,40,1998,84,2011,0.16,0.02,0.54,1999,
3,2,49,62,50,68,37,1999,80,2005,0.00,0.03,T,1999,
4,3,44,65,50,68,44,2014,77,2012,0.00,0.03,0.09,1999,
5,4,48,63,50,68,43,2003,76,2011,0.00,0.02,0.66,2006,
6,5,51,66,50,68,40,1999,81,2009,0.02,0.03,0.48,2006,
7,6,48,76,50,68,42,2003,88,2005,0.00,0.03,0.12,2002,
8,7,52,86,50,68,44,1999,86,2014,0.00,0.03,0.14,1998,
9,8,58,88,50,68,43,1998,88,2014,0.00,0.02,0.10,2011,
10,9,55,91,51,68,42,2011,91,2014,0.00,0.02,0.11,2011,
11,10,52,83,51,69,38,1999,83,2014,0.00,0.03,0.08,2009,
12,11,53,80,51,69,44,1999,84,2008,0.00,0.03,0.40,1999,
13,12,57,66,51,69,46,1999,93,2008,0.00,0.03,0.62,2010,
14,13,57,64,51,69,45,2007,94,2008,0.00,0.03,0.42,2012,
15,14,55,76,52,69,47,2012,82,2008,0.00,0.03,1.29,2003,
16,15,53,71,52,69,43,2012,84,1999,0.00,0.03,0.38,1998,
17,16,56,70,52,69,43,1998,89,1999,0.00,0.03,T,2009,
18,17,58,67,52,69,45,1998,86,1999,0.00,0.03,0.43,2003,
19,18,59,70,52,69,47,1998,87,1999,0.00,0.03,0.03,2010,
20,19,58,70,53,69,44,2007,93,2009,0.00,0.03,T,2008,
21,20,55,71,53,70,45,2005,100,2009,0.00,0.04,0.62,2007,
22,21,57,76,53,70,47,2007,87,2009,0.00,0.03,0.22,2010,
23,22,56,70,53,70,47,2010,74,2002,0.00,0.03,0.31,2010,
24,23,53,70,53,70,43,2010,82,2004,0.00,0.04,0.15,2006,
25,24,53,72,54,70,50,2008,80,2004,0.00,0.03,0.20,2002,
26,25,54,66,54,70,50,2008,86,2008,0.01,0.03,T,2011,
27,26,53,63,54,70,49,2009,97,2004,0.16,0.03,0.32,2002,
28,27,52,67,54,70,50,2003,96,2008,0.00,0.03,0.00,2006,
29,28,52,74,54,70,48,2002,93,2008,0.00,0.03,0.40,2005,
30,29,58,93,55,70,48,2002,93,2014,0.00,0.02,0.03,1999,
31,30,68,91,55,70,48,2010,91,2014,0.00,0.02,0.03,2002,
32,Average:,54.3,73.0,52.0,69.1,,,,,Total: 0.35,Total: 0.86,,,
