,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016,KMYF 11/2016
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,M,M,53,74,50,2013,88,2005,M,0.09,0.36,2014,
3,2,M,M,53,74,49,2004,90,2010,M,0.08,T,2008,
4,3,M,M,52,73,46,2004,95,2010,M,0.07,1.37,2015,
5,4,M,M,52,73,48,2014,97,2010,M,0.06,0.59,2011,
6,5,M,M,52,73,44,2003,91,2012,M,0.06,0.09,2011,
7,6,M,M,52,73,45,2013,91,2014,M,0.06,0.15,2011,
8,7,M,M,51,73,46,2011,92,2006,M,0.06,0.06,2004,
9,8,M,M,51,72,44,2011,88,2014,M,0.07,0.66,2002,
10,9,M,M,51,72,42,2011,80,2009,M,0.06,0.28,2002,
11,10,M,M,51,72,45,1998,87,2001,M,0.07,0.08,2015,
12,11,M,M,50,72,41,2012,94,2001,M,0.03,0.06,2007,
13,12,M,M,50,71,41,2012,80,2002,M,0.04,1.22,2011,
14,13,M,M,50,71,44,2015,89,2013,M,0.04,0.04,2004,
15,14,M,M,50,71,47,2015,88,2008,M,0.03,0.05,2014,
16,15,M,M,50,71,44,1998,90,2008,M,0.04,0.11,2015,
17,16,M,M,49,70,42,1998,91,2008,M,0.04,T,2012,
18,17,M,M,49,70,42,2015,88,2008,M,0.04,0.01,2006,
19,18,M,M,49,70,45,2015,87,2008,M,0.04,0.01,2003,
20,19,M,M,49,70,46,2009,88,2006,M,0.05,0.01,2004,
21,20,M,M,48,69,45,2009,87,2005,M,0.04,0.89,2011,
22,21,M,M,48,69,43,2004,89,2015,M,0.05,0.25,2010,
23,22,M,M,48,69,43,2010,88,2015,M,0.05,0.01,2006,
24,23,M,M,48,69,41,2003,79,2015,M,0.04,0.02,2010,
25,24,M,M,48,68,40,1999,81,2012,M,0.04,0.51,2001,
26,25,M,M,48,68,38,2010,79,2014,M,0.03,0.14,2015,
27,26,M,M,47,68,35,2010,86,2014,M,0.04,0.90,2008,
28,27,M,M,47,68,38,2010,89,2014,M,0.03,0.33,2008,
29,28,M,M,47,67,37,2001,81,2014,M,0.04,0.54,1998,
30,29,M,M,47,67,37,2010,81,1999,M,0.03,0.34,2002,
31,30,M,M,47,67,34,2004,76,2009,M,0.03,1.59,2007,
32,Average:,,,49.6,70.5,,,,,Total: 0.00,Total: 1.45,,,
