,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018,KMYF 08/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,72,90,65,80,59,2010,93,2000,0.00,0.00,T,2017,
3,2,72,87,65,80,60,1999,89,2017,0.00,0.00,0.07,2014,
4,3,71,86,65,80,59,1999,89,2009,0.00,0.00,0.02,2006,
5,4,70,88,65,80,59,2011,91,2009,0.00,0.00,0.00,2006,
6,5,68,86,65,80,61,1999,92,2009,0.00,0.00,0.00,2006,
7,6,67,89,65,80,61,2013,89,2018,0.00,0.00,0.00,2006,
8,7,70,93,65,80,61,2010,93,2018,0.00,0.00,0.00,2006,
9,8,72,93,65,81,59,2002,93,2018,0.00,0.00,0.00,2006,
10,9,74,95,65,81,57,2010,96,1998,0.00,0.00,0.00,2006,
11,10,76,90,65,81,60,2013,93,2003,0.00,0.00,0.00,2006,
12,11,74,88,65,81,60,2013,92,2000,0.00,0.00,0.00,2006,
13,12,72,86,65,81,60,2010,94,2012,0.00,0.00,0.00,2006,
14,13,71,83,65,81,60,2010,92,1998,0.00,0.00,T,2008,
15,14,69,82,65,81,59,2010,92,2015,0.00,0.00,0.00,2006,
16,15,71,80,65,81,57,2010,97,2015,0.00,0.00,0.00,2006,
17,16,70,80,65,81,59,2010,96,2015,0.00,0.00,0.00,2006,
18,17,71,82,65,81,61,2011,93,2016,0.00,0.00,0.00,2006,
19,18,72,85,65,81,61,2011,94,2010,0.00,0.01,0.00,2006,
20,19,71,82,65,81,60,2011,90,2010,0.00,0.00,0.00,2006,
21,20,71,81,65,81,60,1999,91,2007,0.00,0.00,T,2014,
22,21,71,82,65,81,60,1999,89,2007,0.00,0.00,T,2009,
23,22,71,83,65,81,62,2001,85,2014,0.00,0.00,T,2009,
24,23,70,83,65,81,61,2002,92,2010,0.00,0.00,0.00,2006,
25,24,69,79,65,81,60,2002,90,2010,0.00,0.01,0.00,2006,
26,25,69,80,65,81,59,2002,94,2009,0.00,0.00,0.01,2015,
27,26,68,81,65,81,61,2002,98,2009,0.00,0.01,T,2013,
28,27,66,81,65,81,58,2010,103,2009,0.00,0.00,0.00,2006,
29,28,65,81,65,81,56,2010,101,2009,0.00,0.01,0.02,2003,
30,29,67,84,65,81,60,2010,105,2009,0.00,0.00,0.00,2006,
31,30,66,87,65,81,58,2010,98,1998,0.00,0.01,T,2008,
32,31,65,81,65,81,55,2010,96,1998,0.00,0.00,T,2007,
33,Average:,70.0,84.8,65.0,80.8,,,,,Total: 0.00,Total: 0.05,,,
