,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020,KMYF 12/2020
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,45,76,47,67,35,2004,90,1998,0.00,0.02,0.64,2007,
3,2,45,81,46,67,37,2004,81,2020,0.00,0.03,0.49,2014,
4,3,47,73,46,66,38,2004,79,2015,0.00,0.03,0.30,2014,
5,4,41,73,46,66,38,1999,77,2007,0.00,0.03,0.75,2019,
6,5,42,72,46,66,38,2011,76,2008,0.00,0.03,0.69,2018,
7,6,43,74,46,66,36,2011,79,2015,0.00,0.03,1.71,2018,
8,7,45,71,46,66,34,1998,83,2001,0.00,0.04,2.00,2009,
9,8,55,83,46,66,37,2011,85,2017,0.00,0.04,0.64,2007,
10,9,48,74,46,66,37,2013,85,2017,0.00,0.03,0.10,2006,
11,10,45,63,46,66,39,2013,83,2017,0.00,0.03,0.17,2006,
12,11,45,63,46,66,39,1998,85,2017,0.00,0.04,0.57,2015,
13,12,47,62,45,66,39,2003,86,2010,0.00,0.04,0.42,2011,
14,13,43,69,45,66,39,2013,84,2010,0.00,0.03,1.47,2012,
15,14,46,63,45,66,38,2007,80,2017,T,0.04,0.18,2012,
16,15,44,69,45,66,39,2015,82,2017,0.00,0.05,1.28,2008,
17,16,41,71,45,66,36,2001,84,2013,0.00,0.04,1.39,2016,
18,17,44,63,45,66,38,2015,78,2013,T,0.05,1.70,2008,
19,18,46,66,45,66,37,2016,80,2004,0.00,0.05,0.48,2012,
20,19,41,73,45,66,36,2006,80,2004,0.00,0.04,0.25,2010,
21,20,42,80,45,66,37,2006,80,2020,0.00,0.06,0.72,2010,
22,21,46,82,45,66,37,1998,83,2005,0.00,0.06,2.06,2010,
23,22,44,67,45,66,36,1998,77,2014,0.00,0.06,2.17,2010,
24,23,43,71,45,66,34,2011,82,2014,0.00,0.06,1.18,2019,
25,24,52,66,45,66,32,1998,77,2013,T,0.06,0.85,2016,
26,25,45,74,45,66,35,1998,79,2006,0.00,0.07,0.60,2003,
27,26,45,67,45,66,39,2007,76,2013,0.00,0.08,1.19,2019,
28,27,51,60,45,66,35,2015,81,2017,0.00,0.08,0.18,2006,
29,28,50,59,44,66,34,2003,85,2017,0.58,0.10,0.99,2004,
30,29,44,62,44,66,38,2015,84,2017,0.04,0.10,0.49,2010,
31,30,38,66,44,66,38,2020,81,2017,0.00,0.11,0.32,2016,
32,31,40,64,44,66,36,2014,73,2011,0.00,0.10,0.75,2016,
33,Average:,44.9,69.6,45.3,66.1,,,,,Total: 0.62,Total: 1.63,,,
