,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021,KMYF 09/2021
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,67,77,65,83,56,2010,102,2017,0.00,0.00,0.01,2004,
3,2,68,79,65,83,58,2010,101,2017,0.00,0.01,0.00,2006,
4,3,65,79,65,83,56,1999,104,2007,0.00,0.00,0.07,1998,
5,4,63,90,65,83,59,2004,95,2009,0.00,0.00,0.01,2017,
6,5,67,84,65,83,59,2010,102,2020,0.00,0.01,0.04,2011,
7,6,67,80,65,83,58,2005,106,2020,0.00,0.00,0.11,2002,
8,7,69,84,65,82,60,2010,97,2011,0.00,0.01,0.14,2002,
9,8,68,86,65,82,61,2001,97,2011,0.00,0.00,0.01,2017,
10,9,68,89,65,82,57,2010,99,2015,0.03,0.01,T,2010,
11,10,68,89,65,82,55,2010,96,2015,0.00,0.00,T,2010,
12,11,68,92,64,82,59,2010,92,M,0.00,0.01,T,2010,
13,12,66,85,64,82,57,2005,93,2015,0.00,0.00,T,2017,
14,13,62,84,64,82,58,2010,90,2014,0.00,0.00,T,2010,
15,14,64,79,64,82,57,2005,107,2012,0.00,0.01,T,2017,
16,15,64,78,64,82,56,2016,102,2012,0.00,0.00,1.02,2015,
17,16,64,75,64,82,56,2016,103,2014,0.00,0.01,T,2011,
18,17,64,75,64,81,57,2010,100,2020,0.00,0.01,0.00,2006,
19,18,64,76,64,81,57,2010,101,2020,0.00,0.00,0.00,2006,
20,19,62,76,63,81,56,1999,91,2020,0.00,0.01,0.01,2005,
21,20,59,78,63,81,54,1999,99,2015,0.00,0.00,0.21,2016,
22,21,64,98,63,81,53,2007,98,2021,0.00,0.01,T,2015,
23,22,69,95,63,81,57,2010,95,2021,0.00,0.01,0.08,2007,
24,23,65,84,63,81,54,2007,103,2009,0.00,0.00,T,2010,
25,24,65,79,63,80,55,2007,93,2009,T,0.01,T,2021,
26,25,65,77,62,80,56,2005,96,2016,0.00,0.01,T,2017,
27,26,65,70,62,80,57,1998,100,2016,T,0.01,T,2021,
28,27,63,67,62,80,53,2013,107,2010,T,0.00,0.01,2007,
29,28,64,72,62,80,55,2013,93,2005,0.00,0.01,T,2007,
30,29,63,74,62,80,56,2013,99,1999,0.00,0.01,0.12,2002,
31,30,56,82,61,80,52,2019,104,2020,0.00,0.01,0.21,2010,
32,Average:,64.9,81.1,63.7,81.5,,,,,Total: 0.03,Total: 0.17,,,
