,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017,KSAN 10/2017
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,66,71,63,74,52,1893,93,1965,0.00,0.01,0.44,1921,
3,2,67,73,63,74,50,1925,94,1945,0.00,0.01,0.23,1916,
4,3,66,71,63,74,48,1884,104,1987,0.00,0.01,0.55,1914,
5,4,63,75,63,74,48,1884,97,1987,0.00,0.02,2.95,1925,
6,5,61,77,63,74,48,1884,97,1971,0.00,0.01,0.55,1925,
7,6,60,86,63,74,47,1884,101,1971,0.00,0.01,0.74,2010,
8,7,61,88,62,74,48,1916,91,1951,0.00,0.02,0.53,1939,
9,8,65,71,62,73,49,1883,94,2008,0.00,0.01,0.62,1857,
10,9,64,77,62,73,50,1879,99,2015,0.00,0.02,0.74,1932,
11,10,59,76,62,73,47,1879,96,2015,0.00,0.01,0.91,1986,
12,11,62,75,62,73,46,1879,94,2015,0.00,0.01,0.51,1987,
13,12,66,74,61,73,47,1886,94,2015,0.00,0.01,0.45,2012,
14,13,64,74,61,73,48,1886,94,1912,0.00,0.02,1.54,1889,
15,14,61,75,61,73,48,1892,107,1961,0.00,0.02,0.78,1877,
16,15,60,90,61,73,47,1881,97,1961,0.00,0.02,0.96,1878,
17,16,65,89,61,73,48,1892,97,1958,0.00,0.02,0.68,1971,
18,17,67,85,61,73,47,1938,98,1958,0.00,0.02,0.72,1971,
19,18,67,74,60,73,47,1881,91,1940,0.00,0.02,1.00,1948,
20,19,66,72,60,73,46,1892,97,1964,0.00,0.02,0.91,2010,
21,20,65,71,60,73,46,1949,95,1964,T,0.03,0.95,2004,
22,21,61,74,60,72,45,1949,101,1965,0.00,0.02,0.32,1976,
23,22,59,85,60,72,46,1906,104,1965,0.00,0.02,0.91,1941,
24,23,62,92,59,72,47,1886,93,1965,0.00,0.02,0.88,1941,
25,24,66,97,59,72,47,1892,97,2017,0.00,0.02,1.00,1919,
26,25,69,98,59,72,48,1879,98,2017,0.00,0.02,0.80,1940,
27,26,66,88,59,72,46,1874,92,1983,0.00,0.02,0.44,1991,
28,27,59,78,59,72,47,1885,91,1879,0.00,0.03,2.70,2004,
29,28,64,73,58,72,47,1874,92,1879,0.00,0.02,0.60,1974,
30,29,64,69,58,72,45,1971,89,1931,0.00,0.03,0.50,2000,
31,30,63,72,58,72,43,1971,89,1962,T,0.02,0.68,1957,
32,31,63,68,58,72,45,1894,90,1918,T,0.03,1.01,1927,
33,Average:,63.6,78.6,60.7,72.9,,,,,Total: 0.00,Total: 0.57,,,
