,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018,KSAN 01/2018
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,51,66,48,65,35,1919,78,1898,0.00,0.07,1.60,1855,
3,2,54,72,48,65,35,1919,80,1893,0.00,0.06,1.53,1879,
4,3,56,67,48,65,34,1949,83,1943,0.00,0.07,1.08,2005,
5,4,54,70,48,65,29,1949,86,1969,0.00,0.07,2.24,1995,
6,5,56,73,48,65,30,1949,83,2012,0.00,0.06,1.65,2016,
7,6,59,68,49,65,28,1913,83,2006,0.00,0.07,1.27,1977,
8,7,56,66,49,65,25,1913,82,2003,0.00,0.06,1.27,1957,
9,8,61,69,49,65,33,1894,78,1983,0.16,0.07,0.96,1931,
10,9,56,65,49,65,35,1891,85,1923,1.57,0.06,1.57,2018,
11,10,55,62,49,65,34,1888,88,1953,0.02,0.06,1.76,1911,
12,11,51,68,49,65,35,1913,83,1983,0.00,0.07,1.56,1886,
13,12,51,67,49,65,34,1882,82,1986,0.00,0.06,2.49,1882,
14,13,52,79,49,65,31,1963,83,1904,0.00,0.07,1.29,1952,
15,14,56,78,49,65,35,1963,82,1975,0.00,0.06,2.12,1978,
16,15,52,70,49,65,34,1888,82,2014,0.00,0.07,1.80,1993,
17,16,54,68,49,65,34,1947,86,1976,0.00,0.06,1.12,1993,
18,17,53,72,49,65,34,1888,86,1977,0.00,0.07,1.55,1916,
19,18,54,68,49,65,34,1888,81,2009,0.00,0.06,1.35,1874,
20,19,57,63,49,65,39,1948,87,2005,0.01,0.06,2.15,1895,
21,20,54,62,49,65,33,1883,80,1976,T,0.06,1.37,1962,
22,21,48,63,49,65,32,1883,82,1912,0.00,0.07,1.67,1915,
23,22,48,66,49,65,30,1937,80,2013,0.00,0.05,1.53,1967,
24,23,47,69,49,65,37,1937,81,1953,0.00,0.06,2.23,1943,
25,24,48,75,49,65,35,1932,82,1951,0.00,0.06,0.62,1941,
26,25,47,64,49,65,36,1949,81,1951,0.02,0.07,1.99,1995,
27,26,52,64,50,65,36,1949,82,2003,0.00,0.06,2.04,1914,
28,27,47,69,50,65,37,1950,83,1984,0.00,0.06,2.19,1916,
29,28,50,82,50,65,36,1948,83,1962,0.00,0.07,1.32,1915,
30,29,54,82,50,65,33,1880,82,2018,0.00,0.06,1.92,1980,
31,30,59,83,50,65,34,1949,83,2018,0.00,0.06,0.80,1966,
32,31,54,74,50,65,32,1880,83,2003,0.00,0.07,2.57,1979,
33,Average:,53.1,69.8,49.0,65.0,,,,,Total: 1.78,Total: 1.98,,,
