,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009,KSAN 04/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,56,64,55,68,41,1892,87,1985,0.00,0.05,,undefined,
3,2,59,63,55,68,42,1906,92,1960,0.00,0.05,,undefined,
4,3,58,62,55,68,41,1945,89,1960,0.00,0.05,,undefined,
5,4,54,66,55,68,43,1945,91,1971,0.00,0.04,,undefined,
6,5,53,78,55,68,43,1945,95,1989,0.00,0.04,,undefined,
7,6,55,79,55,68,41,1875,98,1989,0.00,0.04,,undefined,
8,7,56,67,55,68,39,1875,93,1989,0.05,0.04,,undefined,
9,8,58,66,56,68,41,1875,82,1885,-0.88,0.03,,undefined,
10,9,56,65,56,68,43,1893,90,1968,-0.88,0.03,,undefined,
11,10,57,63,56,69,44,1935,85,1968,0.09,0.03,,undefined,
12,11,56,61,56,69,44,1945,90,1940,-0.88,0.03,,undefined,
13,12,53,67,56,69,43,1927,93,1888,0.00,0.03,,undefined,
14,13,55,71,56,69,44,1911,95,1940,0.00,0.03,,undefined,
15,14,56,62,56,69,42,1883,91,1964,-0.88,0.02,,undefined,
16,15,53,62,56,69,44,1913,90,1948,0.00,0.02,,undefined,
17,16,52,64,56,69,45,1887,87,1948,0.00,0.02,,undefined,
18,17,52,69,57,69,46,1967,82,1879,0.00,0.02,,undefined,
19,18,55,75,57,69,44,1896,83,1914,0.00,0.02,,undefined,
20,19,60,91,57,69,42,1880,91,2009,0.00,0.02,,undefined,
21,20,63,98,57,69,42,1896,98,2009,0.00,0.02,,undefined,
22,21,63,80,57,69,43,1896,88,1899,0.00,0.02,,undefined,
23,22,60,66,57,69,44,1878,95,1910,0.00,0.02,,undefined,
24,23,60,66,57,69,46,1963,96,1910,0.00,0.01,,undefined,
25,24,60,63,57,69,44,1880,83,1995,0.00,0.01,,undefined,
26,25,58,63,57,69,44,1883,83,1992,0.00,0.01,,undefined,
27,26,55,64,58,69,47,1932,88,2004,0.00,0.01,,undefined,
28,27,58,62,58,69,45,1883,94,2008,0.00,0.01,,undefined,
29,28,58,63,58,69,45,1900,88,2008,0.00,0.01,,undefined,
30,29,58,65,58,69,43,1894,87,1996,0.00,0.01,,undefined,
31,30,55,68,58,69,46,1942,86,1996,0.00,0.01,,undefined,
32,Average:,56.7,68.4,56.4,68.7,,,,,Total: -3.38,Total: 0.75,,,
