,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009,KSAN 12/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,49,63,50,68,38,1884,83,1959,0.00,0.04,,undefined,
3,2,57,62,50,67,42,1991,83,1959,0.00,0.04,,undefined,
4,3,54,64,50,67,42,1909,85,1958,0.00,0.04,,undefined,
5,4,47,66,50,67,39,1909,83,1979,0.00,0.04,,undefined,
6,5,51,60,50,67,38,1948,83,1965,0.00,0.04,,undefined,
7,6,55,59,50,67,40,1891,85,1979,-0.88,0.03,,undefined,
8,7,50,60,49,67,37,1891,80,1989,1.56,0.03,,undefined,
9,8,50,55,49,67,34,1978,84,1938,0.00,0.04,,undefined,
10,9,48,57,49,67,35,1960,84,1957,0.00,0.04,,undefined,
11,10,47,60,49,67,40,1884,84,1950,0.00,0.04,,undefined,
12,11,52,59,49,66,39,1947,84,1958,0.09,0.04,,undefined,
13,12,59,62,49,66,36,1949,81,1952,0.15,0.04,,undefined,
14,13,53,63,49,66,35,1901,81,1952,0.43,0.04,,undefined,
15,14,51,62,49,66,36,1878,83,1953,-0.88,0.04,,undefined,
16,15,47,67,49,66,35,1878,81,1958,0.00,0.04,,undefined,
17,16,47,67,49,66,38,1892,84,1980,0.00,0.04,,undefined,
18,17,47,70,49,66,38,1916,82,1979,0.00,0.04,,undefined,
19,18,50,74,49,66,36,1892,78,1985,0.00,0.04,,undefined,
20,19,51,77,48,66,36,1909,80,1954,0.00,0.04,,undefined,
21,20,51,71,48,66,37,1878,82,1954,0.00,0.04,,undefined,
22,21,54,62,48,66,37,1968,80,2005,0.00,0.04,,undefined,
23,22,52,59,48,66,36,1968,80,1899,0.02,0.04,,undefined,
24,23,45,61,48,66,36,1990,78,1989,0.00,0.04,,undefined,
25,24,44,65,48,66,36,1879,79,1989,0.00,0.05,,undefined,
26,25,42,64,48,66,32,1879,83,1925,0.00,0.05,,undefined,
27,26,46,61,48,66,32,1891,79,1919,0.00,0.05,,undefined,
28,27,45,61,48,66,37,1987,85,1956,0.00,0.05,,undefined,
29,28,49,66,49,66,37,1987,84,1919,0.00,0.05,,undefined,
30,29,52,63,49,66,38,1966,88,1963,0.00,0.05,,undefined,
31,30,50,60,49,65,34,1895,87,1980,0.03,0.05,,undefined,
32,31,52,66,49,65,35,1918,77,1997,0.00,0.06,,undefined,
33,Average:,49.9,63.4,48.9,66.3,,,,,Total: 0.52,Total: 1.31,,,
