,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009,KSAN 01/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,44,60,49,65,35,1919,78,1898,0.00,0.06,,undefined,
3,2,49,55,49,65,35,1919,80,1893,0.00,0.06,,undefined,
4,3,52,57,49,65,34,1949,83,1943,0.03,0.06,,undefined,
5,4,49,62,49,65,29,1949,86,1969,0.00,0.06,,undefined,
6,5,42,58,49,65,30,1949,80,1969,0.00,0.06,,undefined,
7,6,49,61,49,65,28,1913,83,2006,0.00,0.07,,undefined,
8,7,47,69,49,66,25,1913,82,2003,0.00,0.07,,undefined,
9,8,49,63,49,66,33,1894,78,1983,0.00,0.07,,undefined,
10,9,51,62,49,66,35,1891,85,1923,0.00,0.07,,undefined,
11,10,45,76,49,66,34,1888,88,1953,0.00,0.07,,undefined,
12,11,47,75,49,66,35,1913,83,1983,0.00,0.07,,undefined,
13,12,52,81,49,66,34,1882,82,1986,0.00,0.07,,undefined,
14,13,51,80,50,66,31,1963,83,1904,0.00,0.07,,undefined,
15,14,50,79,50,66,35,1963,82,1975,0.00,0.07,,undefined,
16,15,50,77,50,66,34,1888,80,1976,0.00,0.08,,undefined,
17,16,49,77,50,66,34,1947,86,1976,0.00,0.08,,undefined,
18,17,50,75,50,66,34,1888,86,1977,0.00,0.08,,undefined,
19,18,50,81,50,66,34,1888,81,2009,0.00,0.08,,undefined,
20,19,57,80,50,66,39,1948,87,2005,0.00,0.08,,undefined,
21,20,56,76,50,66,33,1883,80,1976,-0.88,0.08,,undefined,
22,21,58,72,50,66,32,1883,82,1912,0.00,0.08,,undefined,
23,22,59,75,50,66,30,1937,86,2009,-0.88,0.08,,undefined,
24,23,59,64,50,66,35,1937,81,1953,0.04,0.08,,undefined,
25,24,57,65,50,66,35,1932,82,1951,-0.88,0.08,,undefined,
26,25,55,60,50,66,36,1949,81,1951,0.01,0.08,,undefined,
27,26,49,58,50,66,36,1949,82,2003,0.00,0.08,,undefined,
28,27,45,62,50,66,37,1950,83,1984,0.00,0.08,,undefined,
29,28,44,66,50,66,36,1948,83,1962,0.00,0.08,,undefined,
30,29,47,78,51,66,33,1880,81,1984,0.00,0.08,,undefined,
31,30,49,75,51,66,34,1949,82,1984,0.00,0.08,,undefined,
32,31,51,72,51,66,32,1880,83,2003,0.00,0.07,,undefined,
33,Average:,50.4,69.4,49.7,65.8,,,,,Total: -2.56,Total: 2.28,,,
