,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009,KSAN 07/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,64,73,64,74,56,1890,95,1985,0.00,0.01,,undefined,
3,2,64,72,64,74,56,1908,94,1985,0.00,0.01,,undefined,
4,3,63,71,65,74,57,1910,90,1981,0.00,0.01,,undefined,
5,4,64,73,65,75,54,1880,89,1957,0.00,0.00,,undefined,
6,5,64,72,65,75,55,1948,84,1981,0.00,0.00,,undefined,
7,6,63,72,65,75,57,1948,83,1981,0.00,0.00,,undefined,
8,7,61,69,65,75,56,1915,86,1954,0.00,0.00,,undefined,
9,8,63,72,65,75,57,1899,86,1984,0.00,0.00,,undefined,
10,9,62,73,65,75,57,1948,95,1985,0.00,0.00,,undefined,
11,10,63,75,65,75,57,1882,93,1959,0.00,0.00,,undefined,
12,11,66,78,66,75,58,1952,89,1959,0.00,0.00,,undefined,
13,12,66,82,66,76,55,1888,85,1983,0.00,0.00,,undefined,
14,13,65,78,66,76,55,1902,85,1984,0.00,0.00,,undefined,
15,14,67,75,66,76,55,1902,93,1911,0.00,0.00,,undefined,
16,15,66,74,66,76,56,1908,90,1984,0.00,0.00,,undefined,
17,16,66,77,66,76,54,1884,88,2003,0.00,0.00,,undefined,
18,17,68,80,66,76,56,1884,86,1984,0.00,0.00,,undefined,
19,18,67,78,66,76,56,1884,83,2004,0.00,0.00,,undefined,
20,19,67,80,66,76,58,1894,87,1951,0.00,0.00,,undefined,
21,20,69,81,66,76,57,1894,86,2005,0.00,0.00,,undefined,
22,21,69,81,66,76,57,1894,86,1877,0.00,0.00,,undefined,
23,22,68,78,67,76,59,1940,99,2006,0.00,0.00,,undefined,
24,23,67,75,67,76,58,1892,89,1960,0.00,0.00,,undefined,
25,24,66,74,67,77,56,1878,85,2006,0.00,0.00,,undefined,
26,25,69,77,67,77,57,1893,88,1891,0.00,0.00,,undefined,
27,26,68,77,67,77,59,1932,87,1977,0.00,0.00,,undefined,
28,27,69,78,67,77,58,1892,86,2006,0.00,0.00,,undefined,
29,28,66,75,67,77,59,1909,92,1972,0.00,0.00,,undefined,
30,29,66,73,67,77,57,1893,89,1972,0.00,0.00,,undefined,
31,30,66,72,67,77,56,1896,100,1930,0.00,0.00,,undefined,
32,31,67,75,67,77,58,1924,92,1930,0.00,0.00,,undefined,
33,Average:,65.8,75.5,65.9,75.8,,,,,Total: 0.00,Total: 0.03,,,
