,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009,KSAN 03/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,55,79,52,66,41,1888,82,1901,0.00,0.08,,undefined,
3,2,55,85,53,66,39,1971,85,2009,0.00,0.08,,undefined,
4,3,56,68,53,66,38,1894,79,1931,0.00,0.08,,undefined,
5,4,52,64,53,66,39,1894,85,1987,0.00,0.08,,undefined,
6,5,53,61,53,66,36,1894,86,1899,0.04,0.08,,undefined,
7,6,50,61,53,66,38,1880,84,1979,0.00,0.08,,undefined,
8,7,53,62,53,66,41,1891,88,1914,0.00,0.08,,undefined,
9,8,54,61,53,66,39,1882,85,1996,0.00,0.08,,undefined,
10,9,54,61,53,66,40,1922,85,1934,-0.88,0.08,,undefined,
11,10,53,61,53,66,40,1935,85,1997,0.00,0.08,,undefined,
12,11,50,61,53,66,40,1935,88,1959,0.00,0.08,,undefined,
13,12,53,60,53,66,38,1922,86,2007,0.00,0.08,,undefined,
14,13,49,63,53,66,40,1917,87,1994,0.00,0.08,,undefined,
15,14,56,60,53,66,38,1898,83,1951,0.00,0.08,,undefined,
16,15,54,60,53,66,39,1880,80,1978,0.00,0.08,,undefined,
17,16,50,65,54,66,38,1895,91,1978,0.00,0.08,,undefined,
18,17,53,70,54,66,40,1881,93,1978,0.00,0.08,,undefined,
19,18,52,74,54,66,41,1920,82,1960,0.00,0.07,,undefined,
20,19,54,62,54,66,39,1880,86,1997,0.00,0.07,,undefined,
21,20,54,60,54,66,42,1898,88,1997,0.00,0.07,,undefined,
22,21,57,64,54,66,37,1894,90,1931,0.00,0.07,,undefined,
23,22,55,62,54,66,38,1894,82,1887,0.14,0.07,,undefined,
24,23,49,62,54,67,40,1898,88,1926,0.00,0.07,,undefined,
25,24,49,70,54,67,43,1929,85,1896,0.00,0.07,,undefined,
26,25,51,72,54,67,41,1880,89,1988,0.00,0.07,,undefined,
27,26,57,64,54,67,41,1936,93,1988,0.00,0.06,,undefined,
28,27,56,71,54,67,41,1880,82,1952,0.00,0.06,,undefined,
29,28,54,74,55,67,41,1920,95,1879,0.00,0.06,,undefined,
30,29,57,61,55,67,43,1884,99,1879,0.00,0.06,,undefined,
31,30,57,66,55,67,39,1875,82,2003,0.00,0.05,,undefined,
32,31,53,68,55,67,38,1905,84,1945,0.00,0.05,,undefined,
33,Average:,53.4,65.5,53.6,66.3,,,,,Total: -0.70,Total: 2.26,,,
