ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
91901,7,2021,A,Y,0,0,0
91901,7,2021,C,Y,0,0,0
91901,7,2021,I,Y,0,0,0
91901,7,2021,R,Y,8204,6709041,818
91902,7,2021,A,Y,0,0,0
91902,7,2021,C,N,155,977479,6306
91902,7,2021,I,Y,0,0,0
91902,7,2021,R,N,6056,3012834,497
91905,7,2021,A,Y,0,0,0
91905,7,2021,C,Y,0,0,0
91905,7,2021,I,Y,0,0,0
91905,7,2021,R,Y,285,217333,763
91906,7,2021,A,Y,0,0,0
91906,7,2021,C,Y,441,1993873,4521
91906,7,2021,I,Y,0,0,0
91906,7,2021,R,Y,2001,1748084,874
91910,7,2021,A,Y,0,0,0
91910,7,2021,C,Y,249,7074516,28412
91910,7,2021,I,Y,0,0,0
91910,7,2021,R,Y,25325,9875549,390
91911,7,2021,A,Y,0,0,0
91911,7,2021,C,Y,199,6706127,33699
91911,7,2021,I,Y,0,0,0
91911,7,2021,R,Y,23364,9329463,399
91912,7,2021,A,Y,0,0,0
91912,7,2021,C,Y,0,0,0
91912,7,2021,I,Y,0,0,0
91912,7,2021,R,Y,0,0,0
91913,7,2021,A,Y,0,0,0
91913,7,2021,C,Y,0,0,0
91913,7,2021,I,Y,0,0,0
91913,7,2021,R,N,17169,8578988,500
91914,7,2021,A,Y,0,0,0
91914,7,2021,C,Y,0,0,0
91914,7,2021,I,Y,0,0,0
91914,7,2021,R,N,5045,2739745,543
91915,7,2021,A,Y,0,0,0
91915,7,2021,C,Y,0,0,0
91915,7,2021,I,Y,0,0,0
91915,7,2021,R,Y,10536,5622914,534
91916,7,2021,A,Y,0,0,0
91916,7,2021,C,Y,0,0,0
91916,7,2021,I,Y,0,0,0
91916,7,2021,R,Y,0,0,0
91917,7,2021,A,Y,0,0,0
91917,7,2021,C,Y,0,0,0
91917,7,2021,I,Y,0,0,0
91917,7,2021,R,N,218,214506,984
91931,7,2021,A,Y,0,0,0
91931,7,2021,C,Y,0,0,0
91931,7,2021,I,Y,0,0,0
91931,7,2021,R,Y,0,0,0
91932,7,2021,A,Y,0,0,0
91932,7,2021,C,Y,0,0,0
91932,7,2021,I,Y,0,0,0
91932,7,2021,R,N,9960,3294401,331
91934,7,2021,A,Y,0,0,0
91934,7,2021,C,Y,0,0,0
91934,7,2021,I,Y,0,0,0
91934,7,2021,R,Y,0,0,0
91935,7,2021,A,Y,0,0,0
91935,7,2021,C,Y,0,0,0
91935,7,2021,I,Y,0,0,0
91935,7,2021,R,N,2878,2159776,750
91941,7,2021,A,Y,0,0,0
91941,7,2021,C,Y,0,0,0
91941,7,2021,I,Y,0,0,0
91941,7,2021,R,N,12505,6793097,543
91942,7,2021,A,Y,0,0,0
91942,7,2021,C,Y,0,0,0
91942,7,2021,I,Y,0,0,0
91942,7,2021,R,N,17488,8275835,473
91945,7,2021,A,Y,0,0,0
91945,7,2021,C,N,608,3394456,5583
91945,7,2021,I,Y,0,0,0
91945,7,2021,R,N,9081,4146416,457
91948,7,2021,A,Y,0,0,0
91948,7,2021,C,Y,0,0,0
91948,7,2021,I,Y,0,0,0
91948,7,2021,R,Y,0,0,0
91950,7,2021,A,Y,0,0,0
91950,7,2021,C,Y,1980,17965889,9074
91950,7,2021,I,Y,0,0,0
91950,7,2021,R,Y,15717,6427623,409
91962,7,2021,A,Y,0,0,0
91962,7,2021,C,Y,0,0,0
91962,7,2021,I,Y,0,0,0
91962,7,2021,R,Y,0,0,0
91963,7,2021,A,Y,0,0,0
91963,7,2021,C,Y,0,0,0
91963,7,2021,I,Y,0,0,0
91963,7,2021,R,Y,0,0,0
91977,7,2021,A,Y,0,0,0
91977,7,2021,C,N,819,4374608,5341
91977,7,2021,I,Y,0,0,0
91977,7,2021,R,N,18596,9736720,524
91978,7,2021,A,Y,0,0,0
91978,7,2021,C,Y,0,0,0
91978,7,2021,I,Y,0,0,0
91978,7,2021,R,N,2927,2068051,707
91980,7,2021,A,Y,0,0,0
91980,7,2021,C,Y,0,0,0
91980,7,2021,I,Y,0,0,0
91980,7,2021,R,Y,0,0,0
92003,7,2021,A,Y,0,0,0
92003,7,2021,C,N,293,1100428,3756
92003,7,2021,I,Y,0,0,0
92003,7,2021,R,N,1863,1066391,572
92004,7,2021,A,Y,0,0,0
92004,7,2021,C,Y,0,0,0
92004,7,2021,I,Y,0,0,0
92004,7,2021,R,Y,2207,2350646,1065
92007,7,2021,A,Y,0,0,0
92007,7,2021,C,Y,0,0,0
92007,7,2021,I,Y,0,0,0
92007,7,2021,R,N,4506,1736015,385
92008,7,2021,A,Y,0,0,0
92008,7,2021,C,Y,0,0,0
92008,7,2021,I,Y,0,0,0
92008,7,2021,R,N,1909,625380,328
92009,7,2021,A,Y,0,0,0
92009,7,2021,C,Y,0,0,0
92009,7,2021,I,Y,0,0,0
92009,7,2021,R,N,2047,682765,334
92010,7,2021,A,Y,0,0,0
92010,7,2021,C,Y,0,0,0
92010,7,2021,I,Y,0,0,0
92010,7,2021,R,N,1027,728715,710
92011,7,2021,A,Y,0,0,0
92011,7,2021,C,Y,0,0,0
92011,7,2021,I,Y,0,0,0
92011,7,2021,R,N,1399,430503,308
92014,7,2021,A,Y,0,0,0
92014,7,2021,C,Y,0,0,0
92014,7,2021,I,Y,0,0,0
92014,7,2021,R,N,4226,1955926,463
92019,7,2021,A,Y,0,0,0
92019,7,2021,C,N,565,6389104,11308
92019,7,2021,I,Y,0,0,0
92019,7,2021,R,N,14611,10443462,715
92020,7,2021,A,Y,0,0,0
92020,7,2021,C,N,2253,20297254,9009
92020,7,2021,I,Y,0,0,0
92020,7,2021,R,N,20557,12008665,584
92021,7,2021,A,Y,0,0,0
92021,7,2021,C,N,1274,10081641,7913
92021,7,2021,I,Y,0,0,0
92021,7,2021,R,N,21169,16151489,763
92024,7,2021,A,Y,0,0,0
92024,7,2021,C,Y,0,0,0
92024,7,2021,I,Y,0,0,0
92024,7,2021,R,Y,19409,8252415,425
92025,7,2021,A,Y,0,0,0
92025,7,2021,C,Y,2074,15978863,7704
92025,7,2021,I,Y,0,0,0
92025,7,2021,R,Y,15584,8682177,557
92026,7,2021,A,Y,0,0,0
92026,7,2021,C,N,602,5310232,8821
92026,7,2021,I,Y,0,0,0
92026,7,2021,R,N,17964,9852695,548
92027,7,2021,A,Y,0,0,0
92027,7,2021,C,Y,1601,15491523,9676
92027,7,2021,I,Y,0,0,0
92027,7,2021,R,Y,16068,11028637,686
92028,7,2021,A,Y,0,0,0
92028,7,2021,C,Y,0,0,0
92028,7,2021,I,Y,0,0,0
92028,7,2021,R,N,16911,9535522,564
92029,7,2021,A,Y,0,0,0
92029,7,2021,C,Y,0,0,0
92029,7,2021,I,Y,0,0,0
92029,7,2021,R,N,7196,4644469,645
92036,7,2021,A,Y,0,0,0
92036,7,2021,C,Y,0,0,0
92036,7,2021,I,Y,0,0,0
92036,7,2021,R,Y,2353,1755932,746
92037,7,2021,A,Y,0,0,0
92037,7,2021,C,Y,0,0,0
92037,7,2021,I,Y,0,0,0
92037,7,2021,R,Y,19241,10283248,534
92040,7,2021,A,Y,0,0,0
92040,7,2021,C,Y,0,0,0
92040,7,2021,I,Y,0,0,0
92040,7,2021,R,N,14003,11871044,848
92045,7,2021,C,Y,0,0,0
92045,7,2021,I,Y,0,0,0
92045,7,2021,R,Y,0,0,0
92049,7,2021,A,Y,0,0,0
92049,7,2021,C,Y,0,0,0
92049,7,2021,I,Y,0,0,0
92049,7,2021,R,Y,0,0,0
92054,7,2021,A,Y,0,0,0
92054,7,2021,C,Y,1346,12066178,8964
92054,7,2021,I,Y,0,0,0
92054,7,2021,R,Y,15945,6328855,397
92055,7,2021,A,Y,0,0,0
92055,7,2021,C,Y,0,0,0
92055,7,2021,I,Y,0,0,0
92055,7,2021,R,Y,0,0,0
92056,7,2021,A,Y,0,0,0
92056,7,2021,C,Y,0,0,0
92056,7,2021,I,Y,0,0,0
92056,7,2021,R,N,20341,8048504,396
92057,7,2021,A,Y,0,0,0
92057,7,2021,C,Y,0,0,0
92057,7,2021,I,Y,0,0,0
92057,7,2021,R,Y,19709,8153607,414
92058,7,2021,A,Y,0,0,0
92058,7,2021,C,Y,0,0,0
92058,7,2021,I,Y,0,0,0
92058,7,2021,R,Y,7184,4151705,578
92059,7,2021,A,Y,0,0,0
92059,7,2021,C,Y,0,0,0
92059,7,2021,I,Y,0,0,0
92059,7,2021,R,N,533,532818,1000
92060,7,2021,A,Y,0,0,0
92060,7,2021,C,Y,0,0,0
92060,7,2021,I,Y,0,0,0
92060,7,2021,R,Y,0,0,0
92061,7,2021,A,Y,0,0,0
92061,7,2021,C,Y,0,0,0
92061,7,2021,I,Y,0,0,0
92061,7,2021,R,N,988,951192,963
92064,7,2021,A,Y,0,0,0
92064,7,2021,C,Y,0,0,0
92064,7,2021,I,Y,0,0,0
92064,7,2021,R,Y,15471,9411968,608
92065,7,2021,A,Y,0,0,0
92065,7,2021,C,Y,1355,5610760,4141
92065,7,2021,I,Y,0,0,0
92065,7,2021,R,Y,12205,10067198,825
