ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalTherms,AverageTherms
91901,4,2014,C,Y,84,19854,236
91901,4,2014,R,Y,2173,58168,27
91902,4,2014,C,Y,0,0,0
91902,4,2014,R,N,5264,124444,24
91905,4,2014,C,Y,0,0,0
91905,4,2014,R,Y,0,0,0
91906,4,2014,C,Y,0,0,0
91906,4,2014,R,Y,0,0,0
91910,4,2014,C,Y,0,0,0
91910,4,2014,R,Y,21447,445667,21
91911,4,2014,C,Y,0,0,0
91911,4,2014,R,Y,17159,404729,24
91912,4,2014,C,Y,0,0,0
91912,4,2014,R,Y,0,0,0
91913,4,2014,C,N,81,20919,258
91913,4,2014,R,N,14524,268429,18
91914,4,2014,C,Y,0,0,0
91914,4,2014,R,N,5236,116007,22
91915,4,2014,C,Y,80,24620,308
91915,4,2014,R,Y,9118,168207,18
91916,4,2014,C,Y,0,0,0
91916,4,2014,R,Y,0,0,0
91917,4,2014,C,Y,0,0,0
91917,4,2014,R,Y,0,0,0
91931,4,2014,C,Y,0,0,0
91931,4,2014,R,Y,0,0,0
91932,4,2014,C,N,160,31155,195
91932,4,2014,R,N,8545,2077685,243
91934,4,2014,C,Y,0,0,0
91934,4,2014,R,Y,0,0,0
91935,4,2014,C,Y,0,0,0
91935,4,2014,R,N,208,7666,37
91941,4,2014,C,N,138,21595,156
91941,4,2014,R,N,11171,1209005,108
91942,4,2014,C,N,695,153220,220
91942,4,2014,R,N,10932,1222036,112
91945,4,2014,C,N,308,42682,139
91945,4,2014,R,N,7888,159680,20
91948,4,2014,C,Y,0,0,0
91948,4,2014,R,Y,0,0,0
91950,4,2014,C,Y,0,0,0
91950,4,2014,R,Y,12086,248222,21
91962,4,2014,C,Y,0,0,0
91962,4,2014,R,Y,0,0,0
91963,4,2014,C,Y,0,0,0
91963,4,2014,R,Y,0,0,0
91977,4,2014,C,N,324,41887,129
91977,4,2014,R,N,15555,1304453,84
91978,4,2014,C,N,52,7714,148
91978,4,2014,R,N,2336,49337,21
91980,4,2014,C,Y,0,0,0
91980,4,2014,R,Y,0,0,0
92003,4,2014,C,Y,0,0,0
92003,4,2014,R,N,150,3846,26
92004,4,2014,C,Y,0,0,0
92004,4,2014,R,Y,296,5157,17
92007,4,2014,C,Y,0,0,0
92007,4,2014,R,N,4251,87984,21
92008,4,2014,C,N,563,224020,398
92008,4,2014,R,N,10227,1178484,115
92009,4,2014,C,N,183,107385,587
92009,4,2014,R,N,15694,2323533,148
92010,4,2014,C,Y,0,0,0
92010,4,2014,R,N,5557,105914,19
92011,4,2014,C,N,185,99944,540
92011,4,2014,R,N,9050,196508,22
92014,4,2014,C,Y,0,0,0
92014,4,2014,R,N,5605,155078,28
92019,4,2014,C,N,204,70215,344
92019,4,2014,R,N,12177,1225930,101
92020,4,2014,C,N,904,188817,209
92020,4,2014,R,N,14149,368591,26
92021,4,2014,C,N,551,121405,220
92021,4,2014,R,N,14149,1321583,93
92024,4,2014,C,Y,840,236033,281
92024,4,2014,R,Y,16679,420278,25
92025,4,2014,C,Y,1329,267201,201
92025,4,2014,R,Y,11386,1295368,114
92026,4,2014,C,Y,168,43941,262
92026,4,2014,R,Y,10083,237582,24
92027,4,2014,C,Y,228,53045,233
92027,4,2014,R,Y,12891,1254939,97
92028,4,2014,C,Y,0,0,0
92028,4,2014,R,Y,8618,2123376,246
92029,4,2014,C,Y,0,0,0
92029,4,2014,R,N,5596,132373,24
92036,4,2014,C,Y,0,0,0
92036,4,2014,R,Y,0,0,0
92037,4,2014,C,Y,0,0,0
92037,4,2014,R,Y,15281,466539,31
92040,4,2014,C,N,208,27058,130
92040,4,2014,R,N,8912,197838,22
92045,4,2014,C,Y,0,0,0
92045,4,2014,R,Y,0,0,0
92049,4,2014,C,Y,0,0,0
92049,4,2014,R,Y,0,0,0
92054,4,2014,C,Y,0,0,0
92054,4,2014,R,Y,12221,308161,25
92055,4,2014,C,Y,0,0,0
92055,4,2014,R,Y,0,0,0
92056,4,2014,C,Y,0,0,0
92056,4,2014,R,N,19358,568574,29
92057,4,2014,C,Y,0,0,0
92057,4,2014,R,N,18767,1340331,71
92058,4,2014,C,Y,0,0,0
92058,4,2014,R,Y,6418,217997,34
92059,4,2014,C,Y,0,0,0
92059,4,2014,R,Y,0,0,0
92060,4,2014,C,Y,0,0,0
92060,4,2014,R,Y,0,0,0
92061,4,2014,C,Y,0,0,0
92061,4,2014,R,Y,0,0,0
92064,4,2014,C,Y,753,189229,251
92064,4,2014,R,Y,13616,352787,26
92065,4,2014,C,Y,0,0,0
92065,4,2014,R,Y,0,0,0
92066,4,2014,C,Y,0,0,0
92066,4,2014,R,Y,0,0,0
92067,4,2014,C,Y,0,0,0
92067,4,2014,R,N,2148,153951,72
92068,4,2014,C,Y,0,0,0
92068,4,2014,R,Y,0,0,0
92069,4,2014,C,Y,347,152539,440
92069,4,2014,R,Y,11440,3126911,273
92070,4,2014,C,Y,0,0,0
92070,4,2014,R,Y,0,0,0
92071,4,2014,C,Y,442,99899,226
92071,4,2014,R,Y,16011,339798,21
92072,4,2014,C,Y,0,0,0
92072,4,2014,R,Y,0,0,0
92075,4,2014,C,N,261,45964,176
92075,4,2014,R,N,4774,110276,23
92078,4,2014,C,Y,0,0,0
92078,4,2014,R,N,15440,1317806,85
92079,4,2014,C,Y,0,0,0
92079,4,2014,R,Y,0,0,0
92081,4,2014,C,Y,698,225776,323
92081,4,2014,R,Y,10062,186160,19
92082,4,2014,C,Y,0,0,0
92082,4,2014,R,Y,530,21295,40
92083,4,2014,C,Y,0,0,0
92083,4,2014,R,N,8501,207904,24
