,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009,KCZZ 02/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,28,71,34,63,18,1959,79,1995,0.00,0.11,,undefined,
3,2,42,67,34,63,22,1975,79,1995,0.00,0.11,,undefined,
4,3,36,70,34,63,18,1955,78,1980,0.00,0.11,,undefined,
5,4,34,74,34,64,18,1955,83,1963,0.00,0.11,,undefined,
6,5,30,62,34,64,17,1955,85,1963,0.08,0.11,,undefined,
7,6,45,51,34,64,19,1955,83,1963,0.23,0.11,,undefined,
8,7,40,48,34,64,21,1974,83,1963,0.73,0.11,,undefined,
9,8,37,50,34,64,24,2002,84,1996,0.08,0.11,,undefined,
10,9,37,44,34,64,21,1956,82,1951,0.87,0.11,,undefined,
11,10,25,48,34,64,19,1953,80,1951,0.00,0.11,,undefined,
12,11,24,54,34,64,20,1953,81,1971,0.00,0.11,,undefined,
13,12,29,49,34,64,19,1953,83,1957,0.00,0.11,,undefined,
14,13,24,47,34,64,19,1964,85,1971,0.14,0.11,,undefined,
15,14,33,51,34,64,18,1974,80,1957,0.00,0.11,,undefined,
16,15,31,55,34,64,13,1990,79,1955,0.00,0.11,,undefined,
17,16,31,49,34,64,16,1990,83,1985,0.66,0.10,,undefined,
18,17,29,49,34,64,20,1956,85,1977,0.00,0.10,,undefined,
19,18,26,54,34,64,21,1953,82,1977,0.00,0.10,,undefined,
20,19,32,60,34,64,16,1953,85,1995,0.00,0.10,,undefined,
21,20,27,71,34,65,14,1953,83,1977,0.00,0.11,,undefined,
22,21,35,73,35,65,18,1953,80,1982,0.00,0.11,,undefined,
23,22,41,76,35,65,19,1967,80,1983,0.00,0.11,,undefined,
24,23,39,71,35,65,12,1953,86,1989,0.00,0.11,,undefined,
25,24,32,69,35,65,19,1964,85,1989,0.00,0.11,,undefined,
26,25,33,62,35,65,20,1960,84,1968,0.00,0.11,,undefined,
27,26,30,60,35,65,21,1977,85,1986,0.00,0.11,,undefined,
28,27,32,66,35,65,19,1964,85,1986,0.00,0.11,,undefined,
29,28,48,73,35,65,19,1964,83,1999,0.00,0.11,,undefined,
30,Average:,33.2,59.8,34.3,64.2,,,,,Total: 2.79,Total: 3.04,,,
