,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009,KCZZ 07/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,-99,-99,48,91,36,1975,104,1950,0.00,0.00,,undefined,
3,2,57,93,48,92,35,1979,102,2007,0.00,0.00,,undefined,
4,3,58,94,49,92,34,1956,105,1973,0.00,0.01,,undefined,
5,4,52,96,49,92,34,2000,108,1989,0.00,0.01,,undefined,
6,5,52,93,49,92,36,1978,106,1989,0.00,0.01,,undefined,
7,6,49,94,49,92,35,1977,104,1976,0.00,0.01,,undefined,
8,7,43,90,50,93,35,1979,103,1976,0.00,0.01,,undefined,
9,8,43,90,50,93,36,1977,105,1985,0.00,0.01,,undefined,
10,9,40,89,50,93,38,1977,102,2002,0.00,0.01,,undefined,
11,10,48,95,50,93,38,2000,103,2003,0.00,0.01,,undefined,
12,11,58,98,50,93,35,1951,103,1961,0.00,0.01,,undefined,
13,12,55,98,51,93,38,1951,102,1983,0.00,0.01,,undefined,
14,13,54,98,51,93,38,1962,104,2005,0.00,0.01,,undefined,
15,14,52,95,51,94,39,1973,104,2006,0.00,0.01,,undefined,
16,15,56,95,51,94,40,1993,105,1960,0.00,0.01,,undefined,
17,16,59,96,51,94,38,1983,108,1998,0.00,0.01,,undefined,
18,17,58,98,51,94,36,1983,107,1960,0.00,0.01,,undefined,
19,18,61,106,52,94,38,1962,106,2009,0.00,0.01,,undefined,
20,19,64,100,52,94,35,1987,104,1990,0.00,0.01,,undefined,
21,20,63,98,52,94,42,1973,104,1989,0.00,0.01,,undefined,
22,21,62,96,52,94,34,1973,103,2006,0.00,0.01,,undefined,
23,22,58,96,52,94,37,1973,106,2006,0.00,0.01,,undefined,
24,23,59,95,52,94,39,1987,103,2006,0.00,0.01,,undefined,
25,24,60,91,52,94,43,1987,102,1959,0.00,0.01,,undefined,
26,25,63,93,52,94,41,1987,104,1959,0.00,0.01,,undefined,
27,26,61,95,53,94,40,1986,106,1995,0.00,0.01,,undefined,
28,27,60,97,53,94,40,1990,111,1995,0.00,0.01,,undefined,
29,28,56,93,53,95,43,1986,109,1995,0.00,0.01,,undefined,
30,29,52,89,53,95,44,2002,106,1995,0.00,0.01,,undefined,
31,30,47,89,53,95,41,1950,103,1972,0.00,0.01,,undefined,
32,31,51,91,53,95,40,1950,105,1972,0.00,0.01,,undefined,
33,Average:,50.1,88.5,51.0,93.5,,,,,Total: 0.00,Total: 0.29,,,
