,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009,KCZZ 05/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,43,81,39,75,26,1969,93,2000,0.00,0.01,,undefined,
3,2,44,71,39,75,29,1990,90,1966,0.00,0.01,,undefined,
4,3,47,79,40,75,29,1967,93,2004,0.00,0.01,,undefined,
5,4,42,79,40,75,29,1973,96,1989,0.00,0.01,,undefined,
6,5,41,81,40,76,29,1959,93,1989,0.00,0.01,,undefined,
7,6,40,88,40,76,25,1975,95,1989,0.00,0.01,,undefined,
8,7,45,89,40,76,29,1975,90,1989,0.00,0.01,,undefined,
9,8,46,89,40,76,27,1965,93,1989,0.00,0.01,,undefined,
10,9,43,87,41,76,29,1990,94,1997,0.00,0.01,,undefined,
11,10,43,85,41,76,27,2003,94,1960,0.00,0.01,,undefined,
12,11,42,85,41,77,30,2002,96,1996,0.00,0.01,,undefined,
13,12,-99,-99,41,77,27,1963,94,1988,0.00,0.01,,undefined,
14,13,40,80,41,77,29,1962,95,1984,0.00,0.01,,undefined,
15,14,40,83,41,77,31,1963,94,1997,0.00,0.01,,undefined,
16,15,47,89,41,78,28,1955,95,1997,0.00,0.01,,undefined,
17,16,48,92,41,78,30,1990,97,1997,0.00,0.01,,undefined,
18,17,48,95,42,78,30,1962,98,1970,0.00,0.01,,undefined,
19,18,50,93,42,78,28,1977,97,2008,0.00,0.01,,undefined,
20,19,52,91,42,79,31,1982,95,2008,0.00,0.01,,undefined,
21,20,52,88,42,79,27,1974,94,2000,0.00,0.01,,undefined,
22,21,46,81,42,79,29,1970,97,1967,0.00,0.01,,undefined,
23,22,45,78,42,79,29,1975,95,1988,0.00,0.01,,undefined,
24,23,42,79,42,80,30,1973,94,1984,0.00,0.01,,undefined,
25,24,37,76,42,80,28,1962,92,1984,0.00,0.01,,undefined,
26,25,34,73,42,80,30,1960,99,1951,0.00,0.01,,undefined,
27,26,34,78,42,81,29,1972,99,1974,0.00,0.01,,undefined,
28,27,40,85,42,81,31,1998,97,2003,0.00,0.00,,undefined,
29,28,46,80,43,81,30,1959,102,2003,0.00,0.00,,undefined,
30,29,42,71,43,82,32,1989,102,1984,0.00,0.00,,undefined,
31,30,39,75,43,82,28,1959,99,1984,0.00,0.00,,undefined,
32,31,51,78,43,82,28,1959,95,1992,0.00,0.00,,undefined,
33,Average:,39.0,76.8,41.3,78.1,,,,,Total: 0.00,Total: 0.26,,,
