,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009,KCZZ 11/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,37,81,38,74,27,1979,89,1960,0.00,0.03,,undefined,
3,2,41,84,38,73,24,1978,87,1999,0.00,0.03,,undefined,
4,3,44,87,38,73,23,1990,90,1997,0.00,0.03,,undefined,
5,4,41,84,37,73,18,1956,92,1988,0.00,0.04,,undefined,
6,5,40,77,37,72,26,2000,88,1988,0.00,0.04,,undefined,
7,6,41,68,37,72,26,1957,87,1980,0.01,0.04,,undefined,
8,7,36,74,37,72,25,1994,92,1950,0.00,0.04,,undefined,
9,8,34,77,37,71,28,1992,86,1991,0.00,0.04,,undefined,
10,9,38,79,36,71,25,2000,84,1955,0.00,0.04,,undefined,
11,10,40,81,36,71,27,1998,86,1973,0.00,0.04,,undefined,
12,11,41,78,36,71,26,1965,89,1996,0.00,0.04,,undefined,
13,12,42,68,36,70,21,2000,87,1999,0.00,0.04,,undefined,
14,13,46,58,36,70,22,2000,90,1999,0.08,0.04,,undefined,
15,14,34,61,35,70,21,2000,84,1967,0.00,0.04,,undefined,
16,15,31,59,35,69,22,2000,83,1995,0.00,0.04,,undefined,
17,16,46,67,35,69,20,2000,86,1995,0.00,0.04,,undefined,
18,17,32,73,35,69,22,1971,86,1995,0.00,0.04,,undefined,
19,18,30,68,35,68,21,1971,87,1995,0.00,0.04,,undefined,
20,19,25,69,35,68,19,1994,84,1995,0.00,0.04,,undefined,
21,20,29,72,34,68,17,1979,85,1995,0.00,0.04,,undefined,
22,21,25,62,34,68,16,1979,83,1998,0.00,0.04,,undefined,
23,22,27,70,34,67,21,2000,84,2002,0.00,0.04,,undefined,
24,23,32,66,34,67,22,1999,82,1995,0.00,0.04,,undefined,
25,24,46,65,34,67,24,1999,85,1970,0.00,0.05,,undefined,
26,25,50,67,34,67,21,1952,85,1995,0.00,0.05,,undefined,
27,26,35,72,34,66,22,1966,90,1977,0.00,0.05,,undefined,
28,27,31,71,33,66,22,1990,88,1977,0.00,0.05,,undefined,
29,28,36,65,33,66,21,1952,83,1999,0.59,0.05,,undefined,
30,29,29,59,33,66,19,1991,86,1980,0.01,0.05,,undefined,
31,30,35,65,33,65,22,1962,85,1995,0.00,0.05,,undefined,
32,Average:,36.5,70.9,35.3,69.3,,,,,Total: 0.69,Total: 1.24,,,
