,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010,KCZZ 04/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,31,51,36,69,23,1951,91,1966,0.32,0.06,,undefined,
3,2,28,59,36,69,23,1976,87,1959,0.00,0.06,,undefined,
4,3,30,61,36,69,23,1976,88,1961,0.00,0.06,,undefined,
5,4,37,61,36,70,23,1955,90,1961,0.00,0.06,,undefined,
6,5,33,50,36,70,21,1955,90,1989,0.03,0.05,,undefined,
7,6,29,64,36,70,24,2003,91,1989,0.00,0.05,,undefined,
8,7,42,65,37,70,24,1970,99,1989,0.00,0.05,,undefined,
9,8,34,75,37,71,28,1983,92,1989,0.00,0.04,,undefined,
10,9,32,72,37,71,20,1953,87,1985,0.00,0.04,,undefined,
11,10,30,65,37,71,21,1953,90,1989,0.00,0.04,,undefined,
12,11,33,59,37,71,23,1963,87,1988,0.00,0.04,,undefined,
13,12,42,55,37,72,23,1953,90,1990,0.33,0.03,,undefined,
14,13,37,58,37,72,26,1953,92,1985,0.00,0.03,,undefined,
15,14,30,64,37,72,25,1972,92,1962,0.00,0.03,,undefined,
16,15,32,73,37,72,28,1970,93,1984,0.00,0.03,,undefined,
17,16,36,69,37,72,27,2008,92,1984,0.00,0.03,,undefined,
18,17,36,79,37,73,24,1976,91,1954,0.00,0.03,,undefined,
19,18,39,78,37,73,26,2002,91,1989,0.01,0.02,,undefined,
20,19,43,71,37,73,22,1968,92,1989,0.00,0.02,,undefined,
21,20,38,67,38,73,24,2002,88,2009,0.03,0.02,,undefined,
22,21,37,47,38,73,25,1973,91,2009,0.41,0.02,,undefined,
23,22,32,48,38,73,23,1963,85,1998,0.60,0.02,,undefined,
24,23,29,61,38,74,26,1970,89,1996,0.00,0.02,,undefined,
25,24,34,69,38,74,27,1963,89,1996,0.00,0.02,,undefined,
26,25,37,76,38,74,23,1961,90,2000,0.00,0.02,,undefined,
27,26,40,79,38,74,21,1974,95,1996,0.00,0.01,,undefined,
28,27,39,74,39,74,27,1975,92,2004,0.00,0.01,,undefined,
29,28,44,57,39,74,29,1969,92,1992,0.01,0.01,,undefined,
30,29,36,52,39,75,24,1970,92,1996,0.00,0.01,,undefined,
31,30,32,60,39,75,24,1967,92,1996,0.00,0.01,,undefined,
32,Average:,35.1,64.0,37.3,72.1,,,,,Total: 1.74,Total: 0.94,,,
