,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010,KCZZ 09/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,48,96,51,92,36,1964,107,1950,0.00,0.02,,undefined,
3,2,52,99,51,92,30,1973,107,1982,0.00,0.02,,undefined,
4,3,52,102,51,92,38,1999,106,1982,0.00,0.02,,undefined,
5,4,55,102,51,91,39,2004,105,1955,0.00,0.02,,undefined,
6,5,52,94,51,91,31,1973,104,1955,0.00,0.02,,undefined,
7,6,50,88,50,91,38,1973,104,1955,0.00,0.02,,undefined,
8,7,43,79,50,91,38,1985,105,1955,0.00,0.02,,undefined,
9,8,41,71,50,91,33,1978,102,1993,0.00,0.02,,undefined,
10,9,42,72,50,90,33,1961,104,1993,0.00,0.02,,undefined,
11,10,33,81,50,90,33,2010,103,1997,0.00,0.01,,undefined,
12,11,44,89,50,90,34,1991,104,1990,0.00,0.01,,undefined,
13,12,49,92,49,90,30,1985,105,1990,0.00,0.01,,undefined,
14,13,50,92,49,90,33,2005,105,1971,0.00,0.01,,undefined,
15,14,52,90,49,89,32,1985,101,1951,0.00,0.01,,undefined,
16,15,44,88,49,89,32,1950,102,2000,0.00,0.01,,undefined,
17,16,39,90,49,89,33,1985,101,1951,0.00,0.01,,undefined,
18,17,38,88,49,89,33,1985,101,1951,0.00,0.01,,undefined,
19,18,40,91,48,88,29,1973,100,1962,0.00,0.01,,undefined,
20,19,40,92,48,88,29,1955,99,1962,0.00,0.01,,undefined,
21,20,43,89,48,88,33,1989,97,1979,0.00,0.01,,undefined,
22,21,43,80,48,88,33,1986,99,2003,0.00,0.01,,undefined,
23,22,37,71,48,87,32,1988,101,1982,0.00,0.01,,undefined,
24,23,35,84,47,87,35,2010,100,1992,0.00,0.01,,undefined,
25,24,50,89,47,87,35,2007,98,2002,0.00,0.01,,undefined,
26,25,48,96,47,86,35,1973,100,1989,0.00,0.01,,undefined,
27,26,51,98,47,86,36,1972,99,1989,0.00,0.01,,undefined,
28,27,60,97,46,86,34,1988,99,1992,0.00,0.01,,undefined,
29,28,60,91,46,86,29,1971,99,1994,0.00,0.01,,undefined,
30,29,57,91,46,85,34,1982,101,1999,0.00,0.01,,undefined,
31,30,58,90,46,85,30,1954,99,1999,0.08,0.02,,undefined,
32,Average:,46.9,89.1,48.7,88.8,,,,,Total: 0.08,Total: 0.40,,,
