,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011,KCZZ 01/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,29,48,33,62,18,1970,82,1964,0.00,0.09,0.85,1982,
3,2,28,55,33,62,15,1976,79,1981,0.15,0.09,0.95,1971,
4,3,40,48,33,62,16,1960,82,1994,0.17,0.09,0.82,2005,
5,4,30,51,34,62,19,1993,81,2003,0.00,0.09,0.85,2005,
6,5,38,56,34,62,14,1970,81,2003,0.00,0.09,3.56,1995,
7,6,37,63,34,62,20,1968,88,2004,0.00,0.10,1.79,1993,
8,7,27,55,34,62,18,1973,89,2004,0.00,0.10,3.73,1993,
9,8,33,51,34,62,19,1951,84,2004,0.00,0.10,2.55,1993,
10,9,39,50,34,62,18,1951,82,2004,0.00,0.10,3.23,2005,
11,10,32,52,34,62,19,1964,83,2004,0.00,0.10,1.59,1978,
12,11,34,56,34,62,21,1954,88,2004,0.00,0.11,1.54,1980,
13,12,34,69,34,62,17,1962,84,2004,0.00,0.11,1.31,1951,
14,13,30,70,34,62,21,2007,77,1996,0.00,0.11,1.81,1997,
15,14,39,68,34,62,12,2007,83,2000,0.00,0.11,1.70,1993,
16,15,43,70,34,62,22,1964,84,1975,0.00,0.11,3.05,1978,
17,16,36,77,34,62,16,2007,82,1971,0.00,0.11,2.78,1993,
18,17,43,81,34,62,13,2007,82,1971,0.00,0.11,1.10,1990,
19,18,39,80,34,62,18,1963,83,1971,0.00,0.11,2.01,1988,
20,19,37,68,34,62,22,2002,81,1971,0.00,0.11,1.34,1954,
21,20,44,60,34,62,20,1973,77,1975,0.00,0.11,1.11,2010,
22,21,35,69,35,62,18,1966,78,1994,0.00,0.11,2.12,1962,
23,22,31,66,35,62,16,1966,79,1994,0.00,0.11,1.01,2010,
24,23,36,62,35,62,19,1966,77,2003,0.00,0.11,1.18,1967,
25,24,21,70,35,62,20,1991,77,1975,0.00,0.12,0.88,1969,
26,25,37,65,35,62,19,1963,82,1975,0.00,0.12,2.42,1969,
27,26,43,63,35,63,22,2002,77,1998,0.00,0.12,1.12,1995,
28,27,33,62,34,63,19,1979,75,2003,0.00,0.12,1.62,2008,
29,28,27,69,34,63,20,1959,80,1986,0.00,0.11,0.54,1957,
30,29,27,62,34,63,10,1979,79,1953,0.00,0.11,3.12,1980,
31,30,30,50,34,63,15,1975,84,1971,0.06,0.11,2.29,1980,
32,31,32,54,34,63,16,2002,79,2003,0.03,0.11,0.55,1990,
33,Average:,34.3,61.9,34.1,62.2,,,,,Total: 0.41,Total: 3.30,,,
