,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011,KCZZ 06/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,35,71,43,83,31,1971,95,1992,0.00,0.01,0.06,1963,
3,2,29,74,43,83,29,2011,99,1970,0.00,0.01,0.20,1999,
4,3,34,75,43,83,32,1966,101,1957,0.00,0.01,0.09,1985,
5,4,32,75,43,84,32,2011,101,1990,0.00,0.01,0.26,1999,
6,5,35,76,43,84,30,1962,98,2002,0.00,0.01,0.06,1972,
7,6,40,70,43,85,33,1956,99,2002,0.00,0.00,0.16,1993,
8,7,34,73,43,85,31,1980,102,1985,0.00,0.00,0.01,1998,
9,8,37,72,43,85,32,1988,99,1985,0.00,0.00,0.02,1968,
10,9,45,76,43,85,33,1982,99,1978,0.00,0.00,0.17,1990,
11,10,37,78,44,86,31,1954,98,1994,0.00,0.00,0.28,1957,
12,11,39,77,44,86,33,1964,100,1979,0.00,0.00,0.10,1969,
13,12,35,74,44,86,30,1955,101,1979,0.00,0.00,0.05,1963,
14,13,43,80,44,87,32,1962,100,1989,0.00,0.00,0.06,1967,
15,14,47,87,44,87,29,1977,104,1961,0.00,0.00,0.00,2006,
16,15,48,86,44,87,33,1952,104,1961,0.00,0.00,0.10,1962,
17,16,43,80,45,88,34,1973,103,1961,0.00,0.00,0.38,1995,
18,17,40,79,45,88,33,2010,102,1981,0.00,0.00,0.10,1995,
19,18,40,81,45,88,31,1979,101,1989,0.00,0.00,0.12,1975,
20,19,42,79,45,88,34,1979,104,1989,0.00,0.00,0.19,1966,
21,20,45,95,45,89,35,1977,103,2008,0.00,0.00,0.15,1972,
22,21,51,94,45,89,13,2010,102,2008,0.00,0.00,0.00,2006,
23,22,52,96,46,89,36,2009,102,1960,0.00,0.00,0.00,2006,
24,23,49,93,46,90,31,1979,102,1990,0.00,0.00,0.00,2006,
25,24,47,86,46,90,34,1963,105,1970,0.00,0.00,0.00,2006,
26,25,44,89,46,90,35,1980,104,2006,0.00,0.00,0.34,1984,
27,26,45,93,47,90,34,2005,107,1994,0.00,0.00,0.08,2006,
28,27,48,94,47,91,33,1955,106,1994,0.00,0.01,0.00,2006,
29,28,48,91,47,91,37,2005,104,1979,0.00,0.01,0.16,1984,
30,29,47,82,47,91,36,1978,103,1972,0.00,0.01,0.00,2006,
31,30,43,87,48,91,36,1989,100,1960,0.00,0.01,0.00,2006,
32,Average:,41.8,82.1,44.7,87.3,,,,,Total: 0.00,Total: 0.09,,,
