,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014,KCZZ 03/2014
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,46,54,36,65,21,1956,84,1967,0.62,0.11,3.72,1991,
3,2,38,54,36,66,18,1977,84,1999,0.02,0.11,2.91,1983,
4,3,33,68,36,66,18,1977,80,1972,0.00,0.11,1.27,1983,
5,4,36,65,36,66,22,1977,82,1972,0.00,0.11,0.74,1983,
6,5,38,77,36,66,20,1974,85,1986,0.00,0.11,1.85,1995,
7,6,41,73,36,66,21,1977,84,1972,0.00,0.11,1.58,1995,
8,7,37,73,36,66,16,1977,83,1989,0.00,0.10,0.91,2010,
9,8,47,71,36,66,21,1964,84,1972,0.00,0.11,1.54,1968,
10,9,41,70,36,66,21,1964,86,1972,0.00,0.10,0.43,1986,
11,10,33,73,36,66,23,1971,84,1972,0.00,0.10,0.89,2006,
12,11,33,71,36,67,24,2009,86,1997,0.00,0.10,1.69,1952,
13,12,37,68,36,67,23,1977,85,1972,0.00,0.11,0.68,1973,
14,13,36,65,36,67,19,1956,85,1997,0.00,0.10,1.49,1996,
15,14,32,74,36,67,20,1956,84,2013,0.00,0.10,0.57,1975,
16,15,33,76,36,67,15,1977,83,2007,0.00,0.09,1.05,2003,
17,16,37,80,36,67,20,1954,89,2007,0.00,0.09,1.34,1952,
18,17,33,76,36,67,25,1955,85,1974,0.00,0.08,1.19,1963,
19,18,34,69,36,67,22,1977,84,2004,0.00,0.07,0.76,1983,
20,19,36,74,36,67,22,1956,87,1997,0.00,0.08,1.48,1991,
21,20,34,73,36,68,24,2000,92,1997,0.00,0.08,0.97,1991,
22,21,27,67,36,68,20,1955,87,2004,0.00,0.07,1.25,1991,
23,22,38,65,36,68,25,2006,88,2004,0.00,0.08,1.54,1954,
24,23,34,72,36,68,24,1973,85,1990,0.00,0.07,1.19,1954,
25,24,34,78,36,68,24,1957,84,1956,0.00,0.07,0.99,1983,
26,25,41,63,36,68,25,1959,81,1988,0.00,0.07,1.13,1950,
27,26,47,57,36,68,24,1964,86,1988,0.05,0.06,1.32,1991,
28,27,43,57,36,68,24,1975,85,1986,0.06,0.07,1.36,1991,
29,28,32,71,36,69,20,1972,81,1969,0.00,0.06,1.33,1998,
30,29,36,80,36,69,19,1972,84,1971,0.00,0.06,1.09,1998,
31,30,34,66,36,69,21,1967,83,1969,0.00,0.06,0.58,1954,
32,31,27,65,36,69,21,1977,87,1989,0.00,0.05,0.48,1996,
33,Average:,36.4,69.2,36.0,67.2,,,,,Total: 0.75,Total: 2.69,,,
