,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019,KCZZ 12/2019
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,35,66,33,65,19,1991,80,1995,0.00,0.06,1.09,1982,
3,2,41,72,33,65,21,1991,78,2017,0.00,0.05,1.21,1955,
4,3,42,65,33,64,22,1978,82,1986,0.01,0.06,1.18,2014,
5,4,51,56,33,64,22,1967,82,2007,1.95,0.07,1.95,2019,
6,5,42,65,33,64,21,2011,86,1989,0.00,0.06,1.09,1951,
7,6,45,65,33,64,20,1978,80,2015,0.00,0.07,0.89,1997,
8,7,54,61,33,63,14,1978,82,1970,0.12,0.06,1.95,2009,
9,8,49,57,33,63,17,1978,82,2015,0.16,0.07,0.72,1997,
10,9,37,58,32,63,17,1960,81,1981,0.00,0.08,0.74,1972,
11,10,33,66,32,63,19,1960,83,1995,0.00,0.07,1.05,1991,
12,11,30,66,32,63,22,1999,86,1950,0.00,0.07,1.13,1985,
13,12,39,71,32,63,21,1985,81,1950,0.00,0.07,0.83,1951,
14,13,39,73,32,63,20,1979,80,1988,0.00,0.06,0.71,2012,
15,14,36,62,32,63,18,1987,78,2016,0.00,0.07,0.46,1965,
16,15,33,54,32,62,19,1987,80,1969,0.00,0.08,1.77,2008,
17,16,36,53,32,62,20,2005,76,2013,0.00,0.07,1.14,2016,
18,17,41,52,32,62,17,1990,81,1980,0.00,0.06,2.24,1978,
19,18,27,58,32,62,20,1990,79,1979,0.00,0.08,0.76,1978,
20,19,25,59,32,62,18,1968,82,1960,0.00,0.07,2.37,1967,
21,20,43,65,32,62,18,1992,80,2018,0.00,0.07,1.16,1951,
22,21,42,70,32,62,15,1968,79,2000,0.00,0.07,1.00,1970,
23,22,38,62,33,62,20,1998,76,1980,0.00,0.08,2.42,2010,
24,23,41,51,33,62,20,1979,76,2005,0.56,0.08,1.07,1948,
25,24,41,53,33,62,19,1976,78,1960,0.41,0.08,1.16,1959,
26,25,38,48,33,62,15,1987,75,1985,0.11,0.09,1.11,1988,
27,26,33,47,33,62,12,1974,78,1980,0.62,0.08,1.05,1968,
28,27,29,51,33,62,20,1988,82,1980,0.00,0.09,1.12,1984,
29,28,27,52,33,62,19,2015,81,1998,0.00,0.08,2.21,1983,
30,29,26,59,33,62,16,1954,82,1998,0.00,0.09,1.08,2004,
31,30,33,49,33,62,14,1969,78,1998,0.00,0.09,1.06,1951,
32,31,35,57,33,62,17,1972,78,2000,0.00,0.09,2.37,1951,
33,Average:,37.5,59.5,32.6,62.7,,,,,Total: 3.94,Total: 2.27,,,
