,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009,KCRQ 01/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,41,58,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
3,2,46,52,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
4,3,50,57,-99,-99,-99,-99,-99,-99,0.05,0.00,,undefined,
5,4,47,63,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
6,5,40,58,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
7,6,45,59,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
8,7,43,65,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
9,8,46,63,-99,-99,-99,-99,-99,-99,0.01,0.00,,undefined,
10,9,50,63,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
11,10,47,79,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
12,11,53,80,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
13,12,55,87,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
14,13,56,82,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
15,14,51,82,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
16,15,49,76,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
17,16,50,77,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
18,17,50,76,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
19,18,52,83,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
20,19,60,77,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
21,20,56,76,-99,-99,-99,-99,-99,-99,-0.88,0.00,,undefined,
22,21,58,75,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
23,22,57,74,-99,-99,-99,-99,-99,-99,0.02,0.00,,undefined,
24,23,57,62,-99,-99,-99,-99,-99,-99,0.07,0.00,,undefined,
25,24,53,64,-99,-99,-99,-99,-99,-99,0.03,0.00,,undefined,
26,25,52,59,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
27,26,47,57,-99,-99,-99,-99,-99,-99,-0.88,0.00,,undefined,
28,27,42,63,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
29,28,42,65,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
30,29,49,80,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
31,30,54,77,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
32,31,51,72,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
33,Average:,50.0,69.7,-99.0,-99.0,,,,,Total: -1.58,Total: 0.00,,,
