,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009,KCRQ 09/2009
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,69,83,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
3,2,70,85,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
4,3,71,85,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
5,4,69,83,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
6,5,67,78,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
7,6,66,76,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
8,7,64,74,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
9,8,64,72,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
10,9,65,74,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
11,10,67,78,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
12,11,67,80,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
13,12,65,74,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
14,13,64,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
15,14,64,72,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
16,15,64,71,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
17,16,60,73,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
18,17,63,73,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
19,18,65,75,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
20,19,65,75,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
21,20,65,74,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
22,21,64,73,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
23,22,64,73,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
24,23,64,89,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
25,24,64,85,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
26,25,60,77,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
27,26,63,80,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
28,27,62,73,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
29,28,63,74,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
30,29,64,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
31,30,60,72,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
32,Average:,64.7,76.4,-99.0,-99.0,,,,,Total: 0.00,Total: 0.00,,,
