,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010,KCRQ 07/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,61,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
3,2,60,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
4,3,61,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
5,4,62,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
6,5,61,66,-99,-99,-99,-99,-99,-99,-0.88,0.00,,undefined,
7,6,61,64,-99,-99,-99,-99,-99,-99,0.06,0.00,,undefined,
8,7,60,65,-99,-99,-99,-99,-99,-99,0.07,0.00,,undefined,
9,8,62,65,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
10,9,62,67,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
11,10,61,67,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
12,11,62,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
13,12,63,71,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
14,13,62,76,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
15,14,65,79,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
16,15,67,84,-99,-99,-99,-99,-99,-99,-0.88,0.00,,undefined,
17,16,68,84,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
18,17,66,76,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
19,18,65,74,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
20,19,65,72,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
21,20,65,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
22,21,63,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
23,22,63,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
24,23,62,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
25,24,64,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
26,25,63,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
27,26,64,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
28,27,63,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
29,28,62,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
30,29,62,69,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
31,30,63,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
32,31,62,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
33,Average:,62.9,70.3,-99.0,-99.0,,,,,Total: -1.63,Total: 0.00,,,
