,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010,KCRQ 06/2010
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,58,63,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
3,2,58,65,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
4,3,58,65,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
5,4,58,65,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
6,5,58,65,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
7,6,-99,-99,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
8,7,0,0,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
9,8,63,66,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
10,9,55,61,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
11,10,54,61,-99,-99,-99,-99,-99,-99,-0.88,0.00,,undefined,
12,11,52,59,-99,-99,-99,-99,-99,-99,-0.88,0.00,,undefined,
13,12,53,60,-99,-99,-99,-99,-99,-99,0.01,0.00,,undefined,
14,13,52,62,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
15,14,56,63,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
16,15,55,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
17,16,59,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
18,17,57,69,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
19,18,61,69,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
20,19,62,68,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
21,20,60,69,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
22,21,59,66,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
23,22,57,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
24,23,61,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
25,24,60,71,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
26,25,59,69,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
27,26,62,69,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
28,27,62,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
29,28,62,64,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
30,29,62,66,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
31,30,62,70,-99,-99,-99,-99,-99,-99,0.00,0.00,,undefined,
32,Average:,51.2,58.5,-99.0,-99.0,,,,,Total: -1.75,Total: 0.00,,,
