,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011,KCRQ 04/2011
1,Date,ObservedLow(F),ObservedHigh(F),NormalLow(F),NormalHigh(F),RecordLow(F),Year,RecordHigh(F),Year,ObservedPrecipitation(inches),NormalPrecipitation(inches),Record Precipitation(inches),Year,
2,1,62,79,M,M,M,M,M,M,0.00,0.00,M,M,
3,2,60,68,M,M,M,M,M,M,0.00,0.00,M,M,
4,3,58,67,M,M,M,M,M,M,0.00,0.00,M,M,
5,4,54,74,M,M,M,M,M,M,0.00,0.00,M,M,
6,5,56,70,M,M,M,M,M,M,0.00,0.00,M,M,
7,6,59,64,M,M,M,M,M,M,0.06,0.00,M,M,
8,7,52,62,M,M,M,M,M,M,0.04,0.00,M,M,
9,8,47,58,M,M,M,M,M,M,0.14,0.00,M,M,
10,9,42,59,M,M,M,M,M,M,0.08,0.00,M,M,
11,10,48,64,M,M,M,M,M,M,0.00,0.00,M,M,
12,11,51,66,M,M,M,M,M,M,0.00,0.00,M,M,
13,12,52,66,M,M,M,M,M,M,0.00,0.00,M,M,
14,13,54,63,M,M,M,M,M,M,0.00,0.00,M,M,
15,14,51,69,M,M,M,M,M,M,0.00,0.00,M,M,
16,15,54,76,M,M,M,M,M,M,0.00,0.00,M,M,
17,16,59,79,M,M,M,M,M,M,0.00,0.00,M,M,
18,17,57,72,M,M,M,M,M,M,0.00,0.00,M,M,
19,18,59,63,M,M,M,M,M,M,T,0.00,M,M,
20,19,59,67,M,M,M,M,M,M,0.00,0.00,M,M,
21,20,58,66,M,M,M,M,M,M,0.04,0.00,M,M,
22,21,59,67,M,M,M,M,M,M,0.00,0.00,M,M,
23,22,58,64,M,M,M,M,M,M,0.00,0.00,M,M,
24,23,58,66,M,M,M,M,M,M,0.00,0.00,M,M,
25,24,57,66,M,M,M,M,M,M,T,0.00,M,M,
26,25,56,67,M,M,M,M,M,M,T,0.00,M,M,
27,26,59,68,M,M,M,M,M,M,T,0.00,M,M,
28,27,54,74,M,M,M,M,M,M,0.00,0.00,M,M,
29,28,57,74,M,M,M,M,M,M,0.00,0.00,M,M,
30,29,58,68,M,M,M,M,M,M,0.00,0.00,M,M,
31,30,55,76,M,M,M,M,M,M,0.00,0.00,M,M,
32,Average:,55.4,68.1,,,,,,,Total: 0.36,Total: 0.00,,,
